systemId,STATE
1105100080,MA
1105200080,MA
1105300080,MA
1105400080,MA
4505000037,MA
4505000001,MA
4505000002,MA
4505000003,MA
4505000004,MA
4305000003,MA
1105000060,MA
7105000005,MA
4305000004,MA
4305000005,MA
4305000006,MA
4305000012,MA
4305000013,MA
4305000014,MA
4305000015,MA
4305000016,MA
4305000008,MA
4305000009,MA
1105000085,MA
1105000089,MA
1105100038,MA
1105200038,MA
1105200044,MA
4305000022,MA
1105000051,MA
4305000026,MA
4305000025,MA
4305000029,MA
4305000028,MA
4305000030,MA
4305000031,MA
4305000039,MA
4305000040,MA
1105100081,MA
1105200081,MA
1105300081,MA
4505000032,MA
4505000030,MA
4505000031,MA
4505000029,MA
4505000034,MA
4505000033,MA
4305000044,MA
4305000045,MA
4305000050,MA
1105000092,MA
1105000015,MA
4305000052,MA
4305000053,MA
1105000055,MA
1105000009,MA
4305000061,MA
1105000028,CT
1105000077,CT
1105200078,CT
4305000010,CT
4305000011,CT
4305000017,CT
4305000018,CT
4305000032,CT
4305000033,CT
4305000035,CT
4305000034,CT
4305000036,CT
4305000037,CT
4305000038,CT
4305000041,CT
4305000042,CT
4505000019,CT
4505000020,CT
4305000049,CT
1105000072,CT
4305000051,CT
4305000056,CT
4305000058,CT
4305000059,CT
4305000001,ME
4305000043,ME
4305000046,ME
4305000047,ME
4305000048,ME
4505000006,VT
4305000007,NH
4305000019,NH
1105100066,NH
4305000027,NH
1105000001,NH
4305000020,RI
1105000045,RI
4305000023,RI
4305000024,RI
1105000067,RI
4305000054,RI
4305000055,RI
1105000068,RI
1105000019,RI
4505000005,NY
2305030001,NY
1205000067,NY
2305040001,NY
1205000014,NY
2405000002,NY
4905000073,NY
2405000014,NY
2405000015,NY
2405000003,NY
2405000004,NY
2405000031,NY
2405000005,NY
2405000006,NY
2405000007,NY
1205000258,NY
1205000068,NY
2305090001,NY
4805000006,NY
1205000253,NY
1205000015,NY
2405000008,NY
2405000030,NY
460005000001,NY
460005000002,NY
4805000008,NY
2305160001,NY
2405000010,NY
2305130001,NY
1205000023,NY
1205000004,NY
2305590001,NY
2305440001,NY
2405000024,NY
2405000025,NY
4505000011,NY
4505000013,NY
4505000014,NY
1205000092,NY
2305130002,NY
1205000032,NY
4505000015,NY
1205000104,NY
1205000044,NY
1205000056,NY
2305190001,NY
1205000003,NY
1205000052,NY
4505000016,NY
4505000017,NY
4505000018,NY
2305220001,NY
2305010001,NY
2305080001,NY
2305120001,NY
2305170002,NY
2305060001,NY
2305170003,NY
2305060003,NY
2305170001,NY
1205000005,NY
4505000036,NY
4905000008,NY
4905000010,NY
2405000018,NY
2405000019,NY
2305240001,NY
2305090002,NY
1205000048,NY
4505000028,NY
4905000011,NY
4905000012,NY
1205000103,NY
1205000045,NY
4505000022,NY
4505000023,NY
4505000024,NY
4905000016,NY
4905000015,NY
4905000017,NY
1205000248,NY
1205000247,NY
2405000028,NY
2405000022,NY
2405000029,NY
2305010002,NY
2305060002,NY
2305080002,NY
2305090003,NY
2305120002,NY
2305170004,NY
2305170005,NY
1205000211,NY
1205000245,NY
1205000070,NY
2305130003,NY
2305160002,NY
2305170006,NY
2305310001,NY
1205000187,NJ
1205000013,NJ
1205000165,NJ
1205000254,NJ
1205000166,NJ
430005400023,NJ
430005400024,NJ
1205000206,NJ
1205000190,NJ
1205000007,NJ
1205000196,NJ
1205000201,NJ
1205000202,NJ
1205000182,NJ
1205000175,NJ
1205000204,NJ
1205000172,NJ
430005400022,NJ
1205000121,NJ
1205000130,NJ
1205000207,NJ
1205000184,NJ
1205000186,NJ
4505000008,NJ
4505000009,NJ
4505000010,NJ
4505000007,NJ
1205000146,NJ
1205000148,NJ
430005400028,NJ
1205000159,NJ
1205000151,NJ
1205000209,NJ
1205000244,NJ
4805000011,NJ
1205000170,NJ
1205400018,NJ
1205000123,NJ
1205000157,NJ
430005400026,NJ
1205000139,NJ
1205000140,NJ
4505000012,NJ
1205000189,NJ
1205000197,NJ
1205000008,NJ
1205000158,NJ
1205000153,NJ
1205000257,NJ
1205000183,NJ
1205400020,NJ
1205000174,NJ
1205000162,NJ
430005400027,NJ
1205000179,NJ
1205000145,NJ
1205000142,NJ
1205000180,NJ
1205000168,NJ
1205000143,NJ
430005400025,NJ
1205000138,NJ
1205400003,NJ
1205400004,NJ
1205400005,NJ
1205000177,NJ
1205000178,NJ
1205000176,NJ
1205000203,NJ
1205000205,NJ
1205000160,NJ
1205000167,NJ
4505000027,NJ
4505000021,NJ
1205000136,NJ
430005400019,NJ
1205000163,NJ
1205000188,NJ
4505000025,NJ
4505000026,NJ
1205000193,NJ
1205000185,NJ
430005400029,NJ
1205000191,NJ
1205000150,NJ
1205000055,NJ
1205000009,NJ
1205000011,NJ
1205000124,NJ
430005400031,NJ
430005400021,NJ
1205000152,NJ
1205000154,NJ
1205000210,NJ
1205000147,NJ
1205000155,NJ
1205000156,NJ
1205000181,NJ
1205000134,NJ
1205000141,NJ
1205000151,NJ
1205000139,NJ
3405000097,PR
510005000002,PR
3405000026,PR
1205000002,PR
1205000001,PR
3405000027,PR
3405000096,PR
3405000025,PR
3405000074,PR
3405000024,PR
510005000011,PR
3405000023,PR
3405000125,PR
3405000028,PR
510005000008,PR
3405000022,PR
3405000021,PR
510005000001,PR
510005000010,PR
510005000009,PR
510005000007,PR
510005000004,PR
510005000003,PR
510005000000,PR
3405000127,PR
510005000006,PR
510005000005,PR
3405000098,PR
2305500001,PA
2305260001,PA
4805000001,PA
1305000136,PA
2305370001,PA
500005000005,PA
2305480001,PA
1305000599,PA
1305000634,PA
500005000022,PA
4805000003,PA
4905000032,PA
4905000033,PA
4905000066,PA
4905000034,PA
500005000002,PA
1305000553,PA
1305000555,PA
