systemId,id,STATE
4605000005,4606000001,VA
1305000508,1306000017,PA
500005000013,500006000013,PA
2305010002,2306010001,NY
2305060002,2306060002,NY
2305080002,2306080002,NY
2305090003,2306090003,NY
2305120002,2306120001,NY
2305210002,2306210001,WV
2305250002,2306250002,WV
2305270001,2306270001,PA
2305270002,2306270002,PA
2305320003,2306320001,PA
2305170004,2306170004,NY
2305170005,2306170006,NY
4805000015,4806000005,PA
2305280001,2306280001,PA
2305380003,2306380001,PA
2305580001,2306580001,PA
1305000617,1306000083,PA
1205000211,1206000013,NY
1205000245,1206000019,NY
2305130003,2306130002,NY
2305380002,2306380002,PA
4805000016,4806000006,PA
2305050002,2306050002,WV
2305100003,2306100006,MD
2305160002,2306160002,NY
2305170006,2306170007,NY
2305310001,2306310001,NY
2305600001,2306600001,PA
2305330003,2306610026,PA
2305480002,2306480002,PA
2305340005,2306340005,PA
2305340003,2306340003,PA
2305340001,2306340001,PA
2305340002,2306340002,PA
2305340007,2306340007,PA
2305340008,2306340008,PA
2305340006,2306340006,PA
2305340004,2306340004,PA
3405000090,3406000087,FL
5405000001,5406000001,GA
1405000063,1406000071,MS
3405000107,3406000110,FL
6105007001,6106007001,NC
4105000003,4106003001,AL
1305000626,1306000029,VA
6105002001,6106002001,VA
3405000057,3406000042,FL
6105001001,6106001001,NC
3405000039,3406000043,FL
3405000095,3406000058,FL
3405000007,3406000044,FL
3405000006,3406000048,FL
3405000016,3406000139,FL
3405000015,3406000137,FL
5905000015,5906000015,MS
4105000004,4106004001,AL
4105000005,4106005001,AL
5905000002,5906000002,MS
3405000017,3406000016,FL
3405000108,3406000111,FL
3405000042,3406000034,FL
3405000020,3406000020,FL
3405000036,3406000074,FL
3405000051,3406000088,FL
3405000076,3406000089,FL
3405000102,3406000103,FL
3405000053,3406000105,FL
3405000106,3406000109,FL
3405000030,3406000054,FL
3405000034,3406000032,FL
3405000044,3406000070,FL
3405000038,3406000033,FL
390005000001,390006000004,NC
5405000002,5406000002,GA
4105000002,4106002001,GA
6105003001,6106003001,NC
3405000063,3406000063,FL
3405000043,3406000035,FL
4105000006,4106006001,AL
6105009001,6106009001,NC
6105009002,6106009002,NC
6105009003,6106009003,NC
6105009004,6106009004,NC
6105011001,6106011001,NC
6105005003,6106005003,NC
4105000001,4106001001,AL
6105006001,6106006001,NC
6105005002,6106005002,NC
6105005001,6106005001,NC
6105010001,6106010001,VA
6105004001,6106004001,VA
1405000036,1406000002,GA
4105000007,4106007001,GA
3405000121,3406000124,FL
3405000115,3406000115,FL
3405000117,3406000119,FL
3405000114,3406000117,FL
3405000072,3406000086,FL
3405000113,3406000121,FL
3405000065,3406000019,FL
3405000073,3406000080,FL
3405000118,3406000122,FL
3405000119,3406000123,FL
3405000110,3406000114,FL
3405000126,3406000129,FL
3405000111,3406000113,FL
3405000047,3406000037,FL
3405000046,3406000036,FL
3405000001,3406000007,FL
3405000010,3406000145,FL
3405000052,3406000039,FL
3405000055,3406000038,FL
3405000056,3406000040,FL
3405000037,3406000041,FL
6105008001,6106008001,NC
3405000064,3406000062,FL
2305040001,2306040001,NY
2705000001,2706000012,MI
2705000002,2706000011,MI
2405000001,2406000033,OH
2405000002,2406000034,NY
340005099012,340006099012,MI
340005099013,340006099013,MI
2405000014,2406000014,NY
2405000014,2406000014,NY
2405000014,2406000014,NY
2405000015,2406000015,NY
2405000003,2406000003,NY
2405000004,2406000004,NY
2405000031,2406000030,NY
2405000005,2406000005,NY
2405000006,2406000006,NY
2405000006,2406000006,NY
2405000007,2406000007,NY
1205000258,1206000014,NY
2405000008,2406000008,NY
2405000030,2406000024,NY
2405000010,2406000010,NY
340005099001,340006099001,MI
340005099001,340006099001,MI
340005099001,340006099001,MI
340005099001,340006099001,MI
340005099001,340006099001,MI
2405000011,2406000011,OH
2705000019,2706000015,MI
2705000017,2706000002,IN
2705000016,2706000003,IN
2705000018,2706000001,IN
2705000007,2706000018,MI
2605000003,2606000003,IN
2605000003,2606000003,IN
2605000003,2606000003,IN
2605000003,2606000003,IN
2605000003,2606000003,IN
2405000024,2406000023,NY
2405000025,2406000029,NY
340005099006,340006099006,MI
2605000009,2606000009,IN
1505000242,1506000743,MI
2605000002,2606000002,IN
2405000018,2406000017,NY
2405000019,2406000018,NY
2705000006,2706000010,MI
2405000012,2406000012,OH
2405000013,2406000013,OH
2405000028,2406000027,NY
2405000022,2406000021,NY
2405000029,2406000028,NY
2705000010,2706060001,MI
2705000011,2706060002,MI
340005099017,340006099017,MI
340005099016,340006099016,MI
2405000023,2406000035,OH
2705000020,2706000014,MI
2705000022,2706040001,MI
2405000027,2406000031,OH
3905540001,3906540001,IN
3305000001,3306000001,KY
3305000002,3306000002,KY
