systemId,COMID,areasqkm,county_areasqkm,levee_areasqkm
4905000034,2150,0.28845199404983,1700.83006677943,0.28800000000000003
500005000002,523,0.114867518828938,1241.2518354270599,0.115
1305000553,2150,0.0120527000365707,1700.83006677943,0.012
1305000555,2150,0.0755078399493638,1700.83006677943,0.076
4605000004,1587,1.5659349309742998,16.928951751481303,1.5659999999999998
2305350001,2283,1.22506424247218,3221.4582868031102,1.225
1305400010,64,0.185783694664552,291.471938707875,0.18600000000000003
1305000130,1551,0.007091352396230329,427.346363697804,0.006999999999999999
1305000625,678,0.0412709550189897,2229.7091617518104,0.040999999999999995
3305000004,1307,3.3373290316269903,1326.37506873509,3.3369999999999997
4805000004,684,0.0330343716833224,1150.2095404949,0.033
2305600003,518,0.03357432033648,2160.99249611497,0.034
2305600004,2048,0.0526524570035277,1624.44363511876,0.214
2305600004,519,0.00180640475735708,2988.83723625303,0.214
2305600004,518,0.159602176961528,2160.99249611497,0.214
4805000005,506,0.102881288677659,494.379667490995,0.10300000000000001
1305000629,520,0.00623908452717704,2323.45042320236,0.006
2305290002,1275,0.0159750049766814,439.920482229067,0.044000000000000004
2305290002,1276,0.0280968107265122,851.99404561024,0.044000000000000004
2305020003,1275,0.21722273497552105,439.920482229067,0.217
4905000035,514,0.438761286458978,2799.7572279290503,0.439
4905000036,514,0.0121038111726873,2799.7572279290503,0.012
1305000541,508,0.0275711589736126,2097.11914065893,0.027999999999999997
4905000072,1997,0.0577298178516089,2801.72171279019,0.057999999999999996
4905000037,1997,0.176029119132404,2801.72171279019,0.17600000000000002
2305100001,959,1.6960973415804,1108.07286793705,1.696
1305000630,959,0.0444686035804208,1108.07286793705,0.044000000000000004
2305400001,2044,1.12850885173895,342.51652678626704,1.129
2305400004,2044,0.18736455661391502,342.51652678626704,0.187
2305400003,2044,0.00702798067270685,342.51652678626704,0.006999999999999999
1305000626,2635,0.00599935406250879,113.424619421695,0.006
6105002001,2635,0.0687806022255851,113.424619421695,0.069
4905000039,2827,0.041722626939985005,1150.1117096870098,0.042
4905000040,2827,0.006481187939733271,1150.1117096870098,0.006
500005000018,2038,0.22164455460376,1204.33945281855,0.222
2305300002,1172,2.79735231369667,176.92971533385503,2.7969999999999997
4905000075,519,0.0296191253635923,2988.83723625303,0.03
4905000076,519,0.0339794655517992,2988.83723625303,0.034
2305410001,523,0.560840732435933,1241.2518354270599,0.561
