systemId,Levee_year,urban_percentage
5105800002,1988,49.43820225
5105890001,1995,48.27586207
3605000095,1970,47.82608696
5805000027,1959,47.5973488
3805010021,1964,47.54098361
3805010074,1959,47.46543779
3605000096,1960,46.42857143
3905110001,1970,46.42857143
3805010050,1958,46.22641509
3805020008,1984,46.15384615
4705000061,1972,46.01769912
6005000022,1967,45.83333333
1405000063,1968,45.45454545
5105630002,1980,45.11278195
5105700001,1980,44.68085106
5105580001,1954,44.44444444
3705000026,1956,44.44444444
3105000005,1982,44.30379747
5305000002,1977,43.67088608
3605000040,1951,43.07692308
3105000004,1987,42.8663654
6005000280,1949,42.85714286
4705000102,1953,42.85714286
5205020212,1960,42.75053305
2305170001,1955,42.30769231
6005000420,1964,42.25352113
3805010067,1962,42.10526316
5905000036,1964,42.10526316
4705000082,1951,41.70731707
3105000007,1955,41.4507772
5105780002,1975,41.17647059
2205000040,1952,40.98360656
5205000422,1965,40.9039548
3605000008,1970,40.38461538
5105870001,1958,40
3305000003,1959,40
4505000034,1961,40
3805010025,1965,40
5805000003,1970,40
3805010038,1958,39.77272727
5105800003,1988,39.62264151
5805000020,1980,38.7755102
3905000005,1951,38.46153846
2405000007,1977,38.46153846
4705000101,1950,38.41059603
6005000009,1948,38.19951338
4905000012,1951,38.0952381
2305170004,1955,37.5
3705000013,1961,37.5
4305000050,1975,37.5
3805010002,1979,37.5
5705000017,1983,37.5
4705000037,1950,37.16108453
5305000020,1964,37.14285714
3305000016,1956,36.36363636
3805010051,1961,35.71428571
2205000007,1972,35.67839196
5805000019,1982,35.59322034
5105780001,1975,35.48387097
4705000055,1968,35.31914894
5605470002,1964,34.86238532
3705000004,1950,34.7826087
4705000052,1964,34.61538462
5605470001,1964,34.49275362
4305000061,1965,34.48275862
3605000048,1961,34.39829606
2405000008,1948,33.33333333
4705000142,1949,33.33333333
2205000015,1949,33.33333333
5105620001,1951,33.33333333
2305170002,1955,33.33333333
5905000032,1956,33.33333333
4105000002,1957,33.33333333
5105870002,1958,33.33333333
1805000733,1960,33.33333333
4705000107,1961,33.33333333
5305000031,1962,33.33333333
2305490002,1964,33.33333333
2305180002,1964,33.33333333
4305000054,1967,33.33333333
6005000477,1969,33.33333333
4905000064,1982,33.33333333
1405000036,1985,33.33333333
3805010072,1956,32.69230769
3905000027,1950,32.68292683
3105000002,1981,32.25988701
4705000128,1969,32.25806452
3605000091,1965,32
4705000091,1967,32
4705000027,1981,31.88405797
6005000035,1951,31.66666667
5805000049,1954,31.31868132
4005000018,1950,30.76923077
2305580001,1954,30.76923077
6005000505,1984,30.76923077
3805010020,1964,30.63583815
2305440001,1977,30.47619048
3905000032,1949,30.45897079
5205000392,1948,30.18867925
2405000024,1958,30
6105001001,1983,30
3805010019,1961,29.87551867
5805003001,1980,29.54545455
5805003001,1980,29.54545455
4005000017,1950,29.45736434
2305110001,1967,29.31034483
5805000009,1995,29.28571429
3805010018,1963,28.57142857
5705000039,1964,28.57142857
3405000106,1966,28.57142857
3905000016,1971,28.57142857
1905031045,1985,28.57142857
3605000092,1951,27.90697674
5505000016,1950,27.65273312
3705000009,1948,27.27272727
3605000101,1952,27.27272727
5505000032,1955,27.27272727
3605000209,1962,27.27272727
3805010088,1974,27.27272727
5805000015,1994,27.27272727
3805010056,1960,26.81388013
1705000103,1949,25
4005000009,1950,25
1805000826,1950,25
4805000003,1964,25
3805020017,1964,25
4505000013,1974,25
3605000099,1980,25
3805010083,1958,24.44444444
3705000027,1956,23.91304348
3805010085,1961,23.91304348
2705000010,1948,23.52941176
3805010052,1961,23.52941176
4705000150,1968,23.52941176
5905000015,1968,23.34558824
5305000024,1949,23.33333333
2305500001,1977,23.07692308
2305500001,1977,23.07692308
5205000903,1964,22.97955209
5605300001,1957,22.5923244
3605000220,1960,22.44897959
4705000123,1969,22.22222222
2205000038,1982,21.81818182
2205000030,1983,21.51898734
4705000152,1968,21.42857143
3805030008,1973,21.30750605
5105950071,1969,21.05263158
4705000048,1969,21.05263158
3605000044,1967,20.30456853
4805000001,1960,20
4705000105,1961,20
5505000058,1963,20
5105590250,1966,20
5705000030,1991,20
2305540001,1992,20
5205000841,1962,19.51612903
5805000010,1995,19.24137931
5805000043,1954,19.23076923
3405000121,1964,19.23076923
5805000018,1949,18.6440678
4705000106,1961,18.18181818
4705000093,1971,17.80821918
2705000011,1948,17.39130435
3905000041,1949,16.88311688
3605000052,1949,16.66666667
4905000017,1972,16.66666667
4805000008,1972,16.66666667
3805010030,1977,16.66666667
2205000036,1985,16.32653061
4705000099,1950,16.27906977
1705100118,1963,16.16161616
3805020015,1971,15.78947368
3405000035,1973,15.49573211
4705000158,1959,15.38461538
6005000450,1954,15.34391534
3905000017,1953,15
5805000029,1985,14.81481481
3405000076,1967,14.6474359
4705000036,1950,14.51612903
3605000006,1964,14.37246964
2205000051,1964,14.32926829
4705000144,1951,14.28571429
3605000021,1953,14.28571429
5305000011,1966,14.28571429
3805010001,1979,14.28571429
1805001314,1990,14.28571429
3805010028,1965,14.1509434
2205000027,1980,14.14141414
3105000001,1962,14.03508772
4905000011,1951,13.79310345
5905000051,1965,13.33333333
4705000134,1988,12.85714286
5105250001,1957,12.5
5205020211,1960,12.5
5205000301,1976,12.5
3405000102,1967,11.9047619
3605000119,1953,11.26760563
6005000036,1951,11.11111111
3805010081,1956,11.11111111
4705000044,1959,10.71428571
3605000215,1961,10.52631579
4705000146,1968,10.52631579
5505000201,1949,10
4705000148,1968,10
