systemId,COMID,areakm2,yearCons,Area_km2,pct_protected
6005000570,207,0.1810012347986098,1949.0,22021.671052200003,0.0008219232517349198
6005000280,3618,0.44411416750717225,1949.0,1461.88471812,0.030379561534667934
6005000235,1988,0.22242360963667412,1949.0,1062.94841957,0.020925155495941403
6005000225,1988,7.660516221566083,1949.0,1062.94841957,0.7206856024740158
5805000018,1527,8.41665702399653,1949.0,1520.30841472,0.5536151048369126
5505000201,1556,1.860031902767386,1949.0,6780.17735905,0.027433381226888775
5305000024,366,11.118503410759866,1949.0,471.32963878,2.358965466194582
5105590001,2019,0.1669254061570452,1949.0,2053.35070386,0.008129415293902292
4905000007,3164,4.526905292529596,1949.0,2693.35194226,0.16807700551495902
4705000142,3490,0.1157231841934642,1949.0,4530.64698461,0.0025542308766619936
3905000042,453,70.03088996973426,1949.0,1131.46548082,6.189396950844776
3905000041,1727,5.162587427907357,1949.0,626.8970926640001,0.823514335657378
3905000036,2493,0.7633815224828683,1949.0,190.47008945299999,0.40078813669651725
3905000032,2499,48.27247776087097,1949.0,694.101289896,6.954673397610862
3905000032,2499,48.27247776087097,1949.0,694.101289896,6.954673397610862
3905000011,1580,21.747971207439672,1949.0,974.875114909,2.230846892575542
3705000023,2752,78.06758050809783,1949.0,2457.78908323,3.176333601640962
3705000011,2710,37.567374281058974,1949.0,1894.64862007,1.982814854591402
3605000052,1729,0.7259269244925193,1949.0,1859.70558794,0.03903450789200619
2405000031,703,0.10210937035980387,1949.0,2201.92026914,0.00463728736189365
2405000019,706,0.197620254773,1949.0,2086.56742989,0.009471069659292928
2405000005,703,0.12972186678392278,1949.0,2201.92026914,0.005891306265807163
2405000004,703,0.2900249648183731,1949.0,2201.92026914,0.013171456245854335
2305570001,3524,0.14321753255426858,1949.0,3007.17338054,0.004762529938614678
2205000016,3329,6.628714224733621,1949.0,5516.42633489,0.12016319664795813
2205000015,3329,0.4489943504313587,1949.0,5516.42633489,0.008139224983239296
1705000103,1729,0.3148147430336093,1949.0,1859.70558794,0.016928203317511686
6005000595,1333,0.07233934375327934,1950.0,6447.45231074,0.0011219833861008685
6005000395,1334,0.5171704565396099,1950.0,2151.43646108,0.024038379282648927
6005000295,1988,0.7319056984338408,1950.0,1062.94841957,0.06885618200833513
5405000002,1560,10.5233119569432,1950.0,545.740695772,1.9282622751922533
5105640001,2485,46.19716818301411,1950.0,2286.14810077,2.0207425830135146
5105530001,2401,27.530830388857808,1950.0,1142.89894914,2.4088595417446133
4705000159,1984,3.2533652180250523,1950.0,1338.18338555,0.2431180399604127
4705000101,1561,9.981142541322694,1950.0,5038.36461018,0.19810282330809934
4705000100,1561,4.050379253853109,1950.0,5038.36461018,0.08039075309614016
4705000099,1561,2.9267116475434047,1950.0,5038.36461018,0.05808852423324014
4705000095,1921,9.067106749938818,1950.0,1603.16562323,0.5655751731795957
4705000037,2101,42.07634762465972,1950.0,2483.6167296,1.694156232851449
4705000036,2101,20.798970447636048,1950.0,2483.6167296,0.837446865281256
4305000016,482,4.546387667465669,1950.0,1636.99130818,0.27772827166201164
4305000015,482,2.0629841512913685,1950.0,1636.99130818,0.1260229141708141
4305000014,482,0.8817524233910423,1950.0,1636.99130818,0.0538642092346459
4005000029,622,49.16816746556304,1950.0,2121.86740132,2.3172120668320666
4005000025,393,2.329322712676634,1950.0,1363.61714364,0.17081940657176015
4005000024,393,1.1160224505267289,1950.0,1363.61714364,0.0818427999187258
4005000023,1157,11.734823078358932,1950.0,1306.61864996,0.8981061979115462
4005000022,1157,3.568945185033048,1950.0,1306.61864996,0.2731435974178315
4005000019,1493,0.18280546368697465,1950.0,1749.80791332,0.010447173218009314
4005000018,1493,0.8743864455509791,1950.0,1749.80791332,0.049970424690328495
4005000017,620,8.864279291430721,1950.0,1609.18771034,0.5508542747668521
4005000009,1157,3.1628487621826835,1950.0,1306.61864996,0.24206364743680253
4005000007,1157,29.540414906231195,1950.0,1306.61864996,2.260829118514076
3905270004,3653,1.4175400678688588,1950.0,1025.26794059,0.1382604499515631
3905270003,3653,2.160532138669561,1950.0,1025.26794059,0.21072853769584002
3905270002,3653,0.21100029009094398,1950.0,1025.26794059,0.0205800144272064
3905270001,3653,0.15969247578156462,1950.0,1025.26794059,0.015575682166524009
3905000027,191,13.479888678256598,1950.0,1001.87328388,1.3454684235168368
3905000022,455,1.2878144281691772,1950.0,1000.65229935,0.12869749352554438
3705000004,643,1.3180648582701415,1950.0,2091.87373527,0.06300881530500299
3605000139,2763,24.037271996257648,1950.0,1129.87969297,2.1274187106658506
3605000079,962,38.68463336684622,1950.0,1218.30134515,3.1752926745790693
3605000051,54,18.892327020522398,1950.0,1118.27116418,1.6894227112057982
3305000022,1082,8.34086623772741,1950.0,807.548790709,1.032862203954812
3305000019,1305,3.3364771794735644,1950.0,976.1446642760001,0.3418015076636419
2405000014,2391,1.0260399533074067,1950.0,886.5957826760001,0.11572804352965949
2405000014,2391,1.0260399533074067,1950.0,886.5957826760001,0.11572804352965949
2405000014,2391,1.0260399533074067,1950.0,886.5957826760001,0.11572804352965949
2305320001,2283,10.136648887974264,1950.0,3221.37299085,0.31466858748634324
2305010002,2665,0.24091442593381976,1950.0,3636.64790655,0.006624628837449635
2305010001,2665,0.25932450530206025,1950.0,3636.64790655,0.007130866445304989
2205000020,2760,0.25884413950125496,1950.0,2273.9373959000004,0.011383081168723521
1805001360,1520,0.15219910726172328,1950.0,6135.08686516,0.0024807979187064697
1805000826,3507,0.3026252099685676,1950.0,3275.82150657,0.009238147113987174
