systemId,huc4
1105000028,0110
4305000001,0101
4305000003,0109
1105000077,0110
1105200078,0110
1105000060,0109
4305000004,0108
4305000005,0108
4305000006,0108
4305000007,0106
4305000010,0108
4305000011,0108
4305000012,0108
4305000013,0108
4305000014,0108
4305000015,0108
4305000016,0108
4305000008,0108
4305000009,0108
4305000017,0110
4305000018,0110
4305000019,0107
1105100066,0106
4305000020,0109
1105000089,0108
1105100038,0108
1105200038,0108
1105200044,0108
4305000022,0108
1105000045,0109
4305000023,0109
4305000024,0109
1105000051,0108
4305000026,0107
4305000025,0107
4305000027,0107
4305000029,0108
4305000028,0108
4305000030,0108
4305000031,0108
4305000032,0108
4305000033,0110
4305000035,0110
4305000034,0110
4305000036,0110
4305000037,0110
4305000038,0110
4305000039,0109
4305000040,0109
4305000041,0110
4305000042,0110
4505000019,0110
4505000020,0110
4305000043,0102
4305000044,0108
4305000046,0101
4305000047,0103
4305000048,0103
4305000049,0110
4305000050,0109
1105000067,0109
1105000072,0108
1105000015,0108
4305000051,0110
4305000051,0203
4305000052,0107
4305000053,0109
4305000054,0109
4305000055,0109
1105000068,0109
1105000001,0107
4305000058,0110
4305000059,0110
1105000055,0108
1105000009,0108
1105000019,0109
4305000061,0108
1105300080,0202
4505000037,0202
4505000001,0202
4505000002,0202
4505000003,0202
4505000004,0202
2305260001,0205
2305150001,0207
2305150003,0207
4805000001,0204
1305000136,0204
1305000345,0207
4505000005,0203
2305150002,0207
2305150004,0207
2305370001,0205
2305540001,0204
2305030001,0205
2305480001,0207
2305040001,0205
4505000006,0202
4805000003,0204
2305020001,0207
2305180001,0207
2305020002,0207
500005000002,0205
500005000002,0205
4605000004,0208
2305350001,0205
1305400010,0207
4805000004,0204
2305600003,0205
2305600004,0205
4805000005,0204
2305290002,0206
2305020003,0207
2305090001,0205
2305100001,0207
2305400001,0205
4805000006,0204
1205000253,0202
2305410001,0205
2305050001,0207
4805000008,0204
2305160001,0205
4805000009,0204
4805000010,0204
4505000008,0203
4505000009,0203
4505000010,0203
4505000007,0203
2305110001,0205
500005000006,0205
2305130001,0205
1205000023,0205
2305420001,0205
2305140001,0207
2305430001,0205
2305430002,0205
2305440001,0205
4505000011,0202
4505000012,0203
4505000013,0202
4505000014,0202
1205000092,0205
2305520001,0205
1305000004,0205
2305470001,0205
2305020004,0207
2305490002,0205
2305490001,0205
1305000581,0205
2305130002,0205
1205000032,0205
4805000002,0204
2305330001,0205
4505000015,0202
2305180002,0207
500005000024,0205
2305520003,0205
2305500001,0205
2305500001,0205
1205000104,0205
2305190001,0205
2305200001,0205
2305530001,0205
2305530002,0205
2305530003,0205
2305530004,0205
2305530006,0205
2305530005,0205
4805000013,0204
2305610001,0205
4505000016,0202
4505000017,0202
4505000018,0202
2305220001,0205
4605000001,0208
1105100081,0202
1105200081,0202
1105300081,0202
4505000032,0202
4505000030,0202
4505000031,0202
4505000029,0202
4505000034,0202
4505000033,0202
2305010001,0205
2305080001,0205
2305120001,0205
