COMID,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
71,0.07592478149554163,0.07592478149554163,0.0776904740884612,0.07945616668138077,0.08210470557076013,0.08563609075659928,0.09446455372119715,0.09799593890703628,0.10064447779641564,0.10241017038933521,0.10594155557517436,0.10594155557517436,0.10770724816809393,0.10859009446455373,0.11123863335393308,0.11300432594685265,0.11388717224331245,0.11477001853977223,0.11477001853977223,0.11477001853977223,0.11477001853977223,0.11565286483623202,0.1165357111326918,0.1174185574291516,0.12006709631853095,0.12094994261499072,0.12183278891145051,0.12359848150437008,0.12448132780082986,0.12536417409728964,0.12536417409728964,0.12624702039374944,0.12801271298666902,0.1288955592831288,0.1288955592831288,0.13154409817250817,0.13242694446896794,0.13330979076542773,0.13330979076542773,0.13330979076542773,0.13419263706188753,0.13684117595126688,0.13684117595126688,0.13948971484064623,0.13948971484064623,0.14125540743356582,0.14125540743356582,0.14302110002648538,0.14655248521232453,0.14743533150878432,0.15184956299108326,0.15361525558400282,0.1553809481769224,0.15802948706630174,0.16156087225214089,0.16774079632735941,0.17215502780965833,0.17833495188487686,0.17921779818133662,0.181866337070716,0.18451487596009536,0.1880462611459345,0.19510903151761277,0.19510903151761277,0.19510903151761277,0.19775757040699213,0.19775757040699213,0.19687472411053236
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.11508928410868743,0.11508928410868743,0.11598841914078656,0.11688755417288568,0.1177866892049848,0.11868582423708392,0.12048409430128217,0.12048409430128217,0.12138322933338129,0.12138322933338129,0.1222823643654804,0.1222823643654804,0.1222823643654804,0.1222823643654804,0.1222823643654804,0.1222823643654804,0.1222823643654804,0.1222823643654804,0.1222823643654804,0.1222823643654804,0.1222823643654804,0.1222823643654804,0.1222823643654804,0.1222823643654804,0.1222823643654804,0.1222823643654804,0.12318149939757952,0.12318149939757952,0.12318149939757952,0.12318149939757952,0.12318149939757952,0.12408063442967865,0.12408063442967865,0.12408063442967865,0.12497976946177777,0.12497976946177777,0.12497976946177777,0.12497976946177777,0.12497976946177777,0.12497976946177777,0.12587890449387687,0.12587890449387687,0.12587890449387687,0.12587890449387687,0.12587890449387687,0.12587890449387687,0.12587890449387687,0.12587890449387687,0.12587890449387687,0.126778039525976,0.126778039525976,0.126778039525976,0.126778039525976,0.126778039525976,0.126778039525976,0.126778039525976,0.126778039525976,0.126778039525976,0.126778039525976,0.126778039525976,0.126778039525976,0.126778039525976,0.126778039525976,0.126778039525976,0.126778039525976,0.126778039525976,0.12767717455807515,0.12767717455807515
82,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.2783673753436097,0.28184696753540484,0.28184696753540484,0.28184696753540484,0.28184696753540484,0.28184696753540484,0.28184696753540484,0.2853265597272,0.2853265597272,0.2922857441107902,0.2922857441107902,0.29576533630258534,0.29576533630258534,0.29576533630258534,0.29924492849438045,0.30272452068617556,0.30968370506976584,0.31316329726156095,0.31316329726156095,0.31316329726156095,0.32012248164515117,0.32360207383694634,0.32360207383694634,0.32360207383694634,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145,0.32708166602874145
87,0.5149330587023687,0.5149330587023687,0.5168947084498063,0.5296454318081506,0.5688784267569026,0.6473444166544063,0.7012897847089402,0.7091363836986906,0.7189446324358786,0.7209062821833162,0.7326761806679417,0.7385611299102545,0.7522926781423177,0.7650434015006621,0.7876023735961943,0.8023147467019764,0.8180079446814771,0.8405669167770093,0.862145063998823,0.8837232112206366,0.9092246579373252,0.9337452797802952,0.9504193026335148,0.959246726496984,0.9680741503604531,0.9808248737187976,0.9886714727085478,1.0004413711931734,1.0092687950566428,1.0200578686675494,1.026923642783581,1.070079937227208,1.0985238585650532,1.1416801530086804,1.1740473738414006,1.2083762444215587,1.2378009906331224,1.2770339855818744,1.3162669805306262,1.3653082242165662,1.4074836937864745,1.452601637977539,1.5045853562846354,1.544799176107106,1.593840419793046,1.651709087342455,1.709577754891864,1.7703888970624293,1.841008287970183,1.918493452993968,2.0136334657446913,2.106811828747977,2.2117600902358885,2.3814427933892404,2.533470648815654,2.5354322985630917,2.53641312343681,2.5393555980579667,2.5462213721739984,2.5550487960374677,2.567799519395812,2.582511892501594,2.6089941640920014,2.614879113334314,2.6286106615663773,2.6374380854298463,2.649207983914472,2.662939532146535
92,1.7040647786327197,1.7040647786327197,1.7040647786327197,1.7040647786327197,1.7040647786327197,1.7040647786327197,1.7040647786327197,1.7040647786327197,1.7040647786327197,1.7080933005680217,1.7080933005680217,1.7080933005680217,1.7201788663739275,1.7242073883092295,1.7242073883092295,1.7282359102445313,1.740321476050437,1.748378519921041,1.756435563791645,1.7685211295975507,1.7886637392740605,1.7967207831446643,1.8289489586270797,1.8531200902388916,1.8652056560447974,1.8732626999154012,1.889376787656609,1.9054908753978168,1.9256334850743264,1.9417475728155338,1.9498046166861376,1.9659187044273454,1.994118357974459,2.0223180115215724,2.050517665068686,2.0746887966804977,2.0988599282923093,2.135116625710027,2.1673448011924425,2.195544454739556,2.22374410828667,2.2479152398984814,2.2801434153808966,2.2962575031221046,2.2962575031221046,2.3002860250574066,2.3123715908633122,2.336542722475124,2.352656810216332,2.3687708979575395,2.4090561173105587,2.4090561173105587,2.4291987269870687,2.4533698585988803,2.481569512145994,2.501712121822503,2.5258832534343147,2.5299117753696168,2.5460258631108243,2.5621399508520324,2.570196994722636,2.5943681263344476,2.5983966482697496,2.6064536921403536,2.6185392579462596,2.622567779881561,2.630624823752165,2.6427103895580712
93,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8140237759419706,0.8180535966149507,0.8180535966149507,0.8180535966149507,0.8220834172879307,0.8220834172879307,0.8220834172879307,0.8220834172879307,0.8261132379609107,0.8341728793068709,0.8382026999798509,0.850292161998791,0.8623816240177311,0.8664114446907113,0.8704412653636914,0.8785009067096514,0.8785009067096514,0.8825307273826315,0.8825307273826315,0.8825307273826315,0.8825307273826315,0.8865605480556116,0.8905903687285915,0.8946201894015716,0.9067096514205117,0.9067096514205117,0.9107394720934919,0.9147692927664718,0.9308885754583921,0.9349183961313722,0.9349183961313722,0.9429780374773322,0.9550674994962723,0.9631271408422326,0.9631271408422326,0.9711867821881927,0.9711867821881927,0.9832762442071328,0.9873060648801129
103,0.7620660457239627,0.7670468695522239,0.772027693380485,0.7770085172087463,0.7770085172087463,0.7819893410370075,0.7819893410370075,0.7819893410370075,0.7869701648652687,0.7869701648652687,0.7869701648652687,0.7869701648652687,0.7869701648652687,0.79195098869353,0.79195098869353,0.796931812521791,0.796931812521791,0.796931812521791,0.8068934601783135,0.8118742840065746,0.8118742840065746,0.8168551078348358,0.8168551078348358,0.8218359316630971,0.8268167554913582,0.8317975793196195,0.8467400508044031,0.8517208746326643,0.8567016984609254,0.8567016984609254,0.8616825222891866,0.8766249937739702,0.8915674652587537,0.9015291129152762,0.9264332320565822,0.9463565273696269,0.9612989988544105,0.9762414703391941,0.9862031179957166,1.0061264133087613,1.0310305324500673,1.0459730039348507,1.0658962992478955,1.0758579469044178,1.0808387707326792,1.1057428898739852,1.1107237137022463,1.1157045375305077,1.1206853613587686,1.1406086566718134,1.1655127758131194,1.175474423469642,1.1854360711261642,1.1953977187826865,1.2103401902674702,1.2103401902674702,1.2153210140957316,1.2203018379239925,1.2252826617522539,1.230263485580515,1.2601484285500821,1.280071723863127,1.304975843004433,1.329879962145739,1.3398416098022612,1.3448224336305226,1.3498032574587837,1.3498032574587837
108,0.23309086524936704,0.23309086524936704,0.23309086524936704,0.23710967327090784,0.23710967327090784,0.23710967327090784,0.23710967327090784,0.23710967327090784,0.23710967327090784,0.24514728931398946,0.24916609733553027,0.2572037133786119,0.26524132942169354,0.26926013744323435,0.26926013744323435,0.26926013744323435,0.26926013744323435,0.26926013744323435,0.27327894546477516,0.2853353695293976,0.2853353695293976,0.2893541775509384,0.2933729855724792,0.2933729855724792,0.3014106016155608,0.3014106016155608,0.3014106016155608,0.3014106016155608,0.3014106016155608,0.3014106016155608,0.3014106016155608,0.3014106016155608,0.3014106016155608,0.3014106016155608,0.3014106016155608,0.3014106016155608,0.3014106016155608,0.30542940963710163,0.30944821765864244,0.30944821765864244,0.30944821765864244,0.30944821765864244,0.3335610657878873,0.3335610657878873,0.3335610657878873,0.3335610657878873,0.3335610657878873,0.3335610657878873,0.3335610657878873,0.3375798738094281,0.3375798738094281,0.3415986818309689,0.36169272193867297,0.36169272193867297,0.36571152996021383,0.36571152996021383,0.36571152996021383,0.36571152996021383,0.36571152996021383,0.36571152996021383,0.36571152996021383,0.36571152996021383,0.36571152996021383,0.36571152996021383,0.36571152996021383,0.36571152996021383,0.36571152996021383,0.36571152996021383
128,1.6899408284023671,1.6994082840236686,1.723076923076923,1.7609467455621302,1.770414201183432,1.803550295857988,1.8745562130177515,1.8934911242603552,1.9029585798816566,1.9029585798816566,1.9076923076923078,1.9171597633136095,1.9266272189349114,1.945562130177515,1.983431952662722,2.016568047337278,2.068639053254438,2.0923076923076924,2.111242603550296,2.130177514792899,2.1680473372781064,2.2059171597633136,2.243786982248521,2.272189349112426,2.310059171597633,2.34792899408284,2.395266272189349,2.4236686390532545,2.4615384615384617,2.5041420118343196,2.5278106508875737,2.617751479289941,2.6508875739644973,2.7171597633136093,2.778698224852071,2.868639053254438,2.9538461538461536,3.0106508875739646,3.0532544378698225,3.1242603550295858,3.214201183431953,3.2899408284023672,3.36094674556213,3.370414201183432,3.4082840236686387,3.479289940828403,3.5076923076923077,3.5455621301775144,3.5928994082840235,3.67810650887574,3.749112426035503,3.834319526627219,3.914792899408284,3.9384615384615387,4.018934911242603,4.10414201183432,4.260355029585798,4.37396449704142,4.558579881656804,4.74792899408284,4.946745562130177,5.112426035502959,5.3349112426035505,5.467455621301775,5.585798816568047,5.65680473372781,5.779881656804734,5.836686390532544
