Levee_year,k_levee_1,p_levee_1,k_county_1,p_county_1,k_levee_2,p_levee_2,k_county_2,p_county_2
1977,3.5069957217060637,1.503632848097429e-11,187.94090598757475,2.183860207046271e-12,2.910471199005304,1.0428747475628774e-10,135.46298373152115,2.1244905509799517e-14
1978,3.9205249912015425,2.657954968837665e-10,157.8241230437469,8.845597324151428e-16,2.8390306533793037,5.300577012213455e-10,109.38140339448012,4.3237552752632436e-13
1979,3.9814897953047605,2.07378777510948e-10,152.4878606992438,2.0848695295427521e-13,2.857331051665799,5.123865943749605e-10,125.68967805787645,2.2951450966891264e-12
1980,4.355376063174926,8.318330470096235e-11,159.2011149948113,8.055507885872832e-13,3.1249258394908956,5.910348475533326e-09,162.65379420081183,6.958937025183337e-12
1981,3.82546320282286,7.115450965407058e-10,163.89217382937068,1.8613238104163742e-11,2.9178851714119887,7.414548578218153e-10,185.81172757977947,1.6298683636517133e-11
1982,2.9255537594928462,4.477186284959492e-11,152.04414660605983,4.222250824361171e-11,2.2624239272676725,1.6608392715088592e-09,190.0236775605241,4.94940819293694e-12
1983,2.8092338854490606,6.020114024859587e-11,141.5132052962167,2.927494467163317e-11,2.2915971214458217,9.617552844668012e-10,198.08688857146808,4.039245020100057e-11
1984,2.7922664225270992,1.1903880212222517e-10,131.55633676223886,4.6910869127734206e-11,2.354116186388225,2.9187268763024287e-10,196.85954374910943,2.379694949836415e-11
1985,2.6198258774657504,6.408605403367675e-10,127.90220215742806,7.997197944050995e-11,2.329863554809279,3.9249845263679765e-10,196.6931770974686,2.1612673134279032e-11
1986,1.711630647818204,1.4170476198895831e-08,133.0049646456115,1.3379396635071054e-12,1.6909382620496807,8.097132589610863e-10,191.7227413754464,3.622371652850357e-13
1987,1.2361315657137126,2.6618481045450837e-08,131.48883481920882,1.6528870069426552e-14,1.419995455429186,1.866681489417177e-10,209.66761827815117,2.2306469876019495e-13
1988,1.230561588755176,1.6613202842398535e-08,121.42481074994123,1.996713761563576e-14,1.4298405116881394,7.197873846585967e-11,194.52266914613904,1.8732609297122218e-15
1989,0.8592102697536514,4.9940024294014444e-08,109.15781672023604,1.8698142732242417e-13,1.1019090345029952,1.7242143755380826e-09,163.21071245356916,6.525367948500914e-16
1990,0.83967378223727,9.542808131087841e-09,90.6954799245758,1.570374050541407e-10,1.033039501128405,5.77595525714455e-10,147.11490304072765,3.4734412256047365e-13
1991,1.9424092849230838,1.0754497971768976e-08,116.4388189494075,3.3444764384990103e-09,1.868759518465371,9.561407877411021e-12,170.23570613689935,3.1481556883257567e-13
1992,1.7672027696118242,7.990588202608226e-09,101.55894447124388,1.251683441532163e-08,1.7780926409581177,2.627652932662103e-11,144.8270562730935,8.055018517803647e-11
1993,1.7570793234428788,7.87475751249936e-09,96.07564532725769,1.7175393978286793e-08,1.7064309266650728,2.6165876639923306e-10,138.27136976420945,6.289813796206501e-11
1994,1.7326653726138446,9.669853361152843e-09,94.00518157454803,1.7952122778049476e-08,1.706430926665071,2.6165876639923425e-10,133.70729574159452,8.214809677604474e-11
1995,6.8792350120090475,2.316966669938944e-08,262.27646323594263,6.1180738112247e-08,6.694457355425854,9.87427024459268e-10,395.7782407693694,1.4654762292572529e-10
