Levee_year,levee_urban_1,county_urban_1,levee_urban_2,county_urban_2,levee_urban_3,county_urban_3,levee_urban_4,county_urban_4,levee_urban_ratio,county_urban_ratio,levee_effect
1948,2595.7556201465877,35657.1896486529,2767.0270893641555,38498.63789153773,3064.621616968908,42677.45935064328,3338.843389787903,46667.257585951105,0.6010942982607852,0.40414249856513895,0.19695179969564625
1949,963.6599954651543,12737.638339364208,1054.955745267982,13832.399761037688,1214.1115489689423,15533.841601732503,1360.4302201372916,17114.75786124336,0.6026887504002685,0.4440737755393578,0.1586149748609107
1950,1103.2899444034535,13968.27805712578,1199.5791889265033,15136.025974686258,1363.9270050913026,16938.579733055027,1515.3873803734564,18609.376345672546,0.5729729320484711,0.4307853497250964,0.1421875823233747
1951,1128.5500021847984,15644.269812907229,1225.696964183199,17050.658158670336,1392.1184963975513,19180.931998402073,1545.5066413696259,21110.457678877265,0.5789288909991828,0.3719721770221507,0.20695671397703208
1952,1235.885915117072,17450.80283406072,1341.4345737474232,19151.860298032738,1524.8670552322546,21650.370145118628,1693.7155340893296,23842.398295054172,0.5997216928015185,0.2886267491617218,0.31109494363979673
1953,1354.374615392086,18842.717616010992,1464.0894213853655,20491.672266081616,1656.1102321740236,22954.27014865579,1836.295339562958,25103.374836494622,0.642304388707313,0.30331339782254685,0.33899099088476614
1954,1335.9319167259123,18712.571215544736,1448.5770227484165,20556.36606710899,1641.7647283928977,23122.723554461998,1821.1978580099724,25246.886372300873,0.5929065713802737,0.1520602826484525,0.4408462887318212
1955,902.1682002263649,17176.421667540893,1005.427486107092,19055.43826550506,1178.0203679734652,21561.245883798,1332.7287226823241,23539.040087175003,0.49825125546151483,0.05256877747639632,0.4456824779851185
1956,706.652173387972,17231.90478268463,771.231021547658,19276.76715350951,889.4981889297371,21885.302427644852,1006.3029016749009,23903.545276472458,0.808714711918326,-0.01301775727162402,0.82173246918995
1957,703.8037720246284,21785.28148158732,741.5708611115302,24215.061354210004,801.3486216549109,27024.662957910718,859.9551228852191,29178.981218055007,0.5517876184594235,-0.11336895806164637,0.6651565765210699
1958,728.9011200339138,23215.44444939012,768.6746280338159,25805.896935339915,828.9927881722422,28738.344331401553,886.8286817230837,30994.372199853882,0.4541310651045387,-0.12909891971048748,0.5832299848150262
1959,625.9070631001536,25115.06997235373,663.055716912999,27828.556692154834,720.2454351997382,30857.15657312358,774.0084630324449,33214.41857780238,0.4472402715738877,-0.13127932874070325,0.5785196003145909
1960,660.6545928614181,26801.3124996372,702.2988946720944,29622.7655724874,764.0683923002549,32677.132039101307,823.7043517193558,35166.39113006242,0.43203167843270407,-0.11773861670274421,0.5497702951354483
1961,582.6879156894803,27632.37173209637,617.491610975771,30393.1827118353,664.5283415346222,33299.64580971362,710.7748007657399,35735.10971000725,0.32878014391001575,-0.11784474990608174,0.4466248938160975
1962,467.7515317747933,27007.02756966087,497.916487329344,29881.98095091919,532.859897582622,32916.192862481905,566.2803694000464,35545.587047726054,0.10792378782015377,-0.08541327926044306,0.19333706708059684
1963,628.1299414690344,29350.957749922243,672.1864716132462,32178.012836993505,727.0252095867423,35236.92509583336,779.9376329165577,38014.727104751524,0.20101204422171381,-0.017422044012633475,0.2184340882343473
1964,591.8144401996809,28239.74075223125,633.3350677341701,30906.164447623025,684.1261648716911,33819.922756413325,731.5611727532321,36555.38363607509,0.14244438724195474,0.02589130316734689,0.11655308407460785
