year_diff,Levee_year,levee_urban,county_urban,levee_area,county_area
-10.0,1948.0,57.35738716158891,2454.4811586555006,1070.4419999999998,201686.32570316654
-10.0,1949.0,549.6649333334365,4828.878558880858,44721.077,366890.2259156928
-10.0,1950.0,556.9466507213031,4942.566521562711,45037.01699999999,416712.5510990506
-10.0,1951.0,582.9048553783625,5339.966828997271,46702.298,410673.38820890826
-10.0,1952.0,75.42789501573122,2385.4425439159672,2969.273,205735.0407058862
-10.0,1953.0,171.98414337214882,2192.233762966169,2787.299,135799.0564842397
-10.0,1954.0,130.1536721378919,1740.601179824479,1296.9270000000001,108317.61113746073
-10.0,1955.0,220.499402241774,2406.03038636896,6263.303000000001,151452.78006000567
-10.0,1956.0,170.5262993525409,2122.833647448468,7076.282,158447.62016335668
-10.0,1957.0,166.07759166474398,1917.88718665462,6227.9890000000005,119767.59346047883
-10.0,1958.0,183.1186403790766,2936.1943159907933,4082.1780000000003,147695.74971837708
-10.0,1959.0,153.91443664005016,4042.9794389543626,4180.526000000001,313282.62100128795
-10.0,1960.0,179.8570472925936,6538.711154067923,6620.577000000002,460341.62333503383
-10.0,1961.0,94.60728554069523,5843.421424399752,4544.478999999999,433344.8976668815
-10.0,1962.0,60.81522954753729,5971.816568102106,3679.104,284552.6827242682
-10.0,1963.0,82.51676790324981,5499.614680538744,2175.308,369256.88005429687
-10.0,1964.0,85.86327920907227,6121.84614193864,1606.533,415824.6361957232
-10.0,1965.0,94.41564971878769,5839.700763471589,4458.592000000001,417590.2163741813
-10.0,1966.0,216.16519684826315,5922.0400747045305,25148.727999999996,267713.2246330133
-10.0,1967.0,221.4513483984675,5907.019561761524,25874.153,262690.4344595072
-10.0,1968.0,210.075851154748,6614.165839956847,22886.006999999998,327973.0999083841
-10.0,1969.0,39.986688737696625,4768.007951502518,1228.916,260510.22014407642
-10.0,1970.0,24.708009505759755,3544.66543864332,665.576,241136.78197428313
-10.0,1971.0,28.910682175183677,1985.3927918887427,645.531,172930.96244197825
-10.0,1972.0,46.26955791388015,2207.553170785301,770.5490000000001,267639.1816089256
-10.0,1973.0,31.039446583036657,2062.8133636268863,574.5199999999999,204897.67786977816
-10.0,1974.0,24.910408707332703,1794.56073990779,467.323,174763.040245406
-10.0,1975.0,11.654174857967122,1150.8224016360466,855.9330000000001,75449.54690826207
-10.0,1976.0,57.851920863448065,1738.8833774171994,853.586,88079.99966526577
-10.0,1977.0,63.517293957034646,2153.2325956198833,1286.3980000000001,98870.38020875573
-10.0,1978.0,58.97285512314066,2155.478833450188,751.658,110559.27901810725
-10.0,1979.0,20.84160940411754,1429.9782616796952,586.827,138507.06230290377
-10.0,1980.0,40.869801781087254,834.8354616447275,314.398,105559.16038023002
-10.0,1981.0,41.45525786537259,753.2526335102494,306.508,96398.69331848682
-10.0,1982.0,40.99902132298183,1519.625631076713,289.87799999999993,66319.82656381604
-10.0,1983.0,13.978967423397279,2259.256015042802,129.15800000000002,80686.4327190812
-10.0,1984.0,10.878150166056855,2750.6453835623515,150.552,114900.50604805877
-10.0,1985.0,7.1665555372059835,1990.5905306123034,153.95300000000003,110435.67611003741
-10.0,1986.0,48.52430634822288,1737.0177995565143,303.722,107343.51382793959
-10.0,1987.0,51.822154347324656,1359.3754858457048,285.02,54812.47108826668
-10.0,1988.0,46.980709739960695,1119.1494816516836,260.55499999999995,35952.01651929274
-10.0,1989.0,7.3268078300427035,794.62878193988,52.168000000000006,42366.18720679729
-10.0,1990.0,13.932217950933373,1526.6660465169266,177.91099999999997,56070.92520036784
-10.0,1991.0,14.754886965017878,1924.9072092466586,188.099,64626.83097037928
-10.0,1992.0,14.849703898748368,2045.1906245758616,339.371,47286.55253931871
-10.0,1993.0,5.065285897864944,883.3781609380135,176.882,24047.500746812875
-10.0,1994.0,38.54045563253263,1466.6534657523753,994.568,30963.904000265724
-10.0,1995.0,70.39570546953237,2153.305702097841,1668.0220000000002,46798.033458193
-9.0,1948.0,57.481245652154946,2524.993906250005,1070.4419999999998,201686.32570316654
-9.0,1949.0,551.6165467314461,4895.814859026008,44721.077,366890.2259156928
-9.0,1950.0,559.1462961143397,4993.303515455741,45037.01699999999,416712.5510990506
-9.0,1951.0,589.1101709058751,5407.780557768679,46702.298,410673.38820890826
-9.0,1952.0,79.8046038553058,2436.5720039189628,2969.273,205735.0407058862
-9.0,1953.0,177.55757036072632,2238.681799061208,2787.299,135799.0564842397
-9.0,1954.0,131.78473057929523,1775.0460857787937,1296.9270000000001,108317.61113746073
-9.0,1955.0,222.48736669522253,2468.601993410922,6263.303000000001,151452.78006000567
-9.0,1956.0,171.25952431530064,2185.8380726130863,7076.282,158447.62016335668
-9.0,1957.0,167.0017358806824,1993.3232564292216,6227.9890000000005,119767.59346047883
-9.0,1958.0,184.0740013201176,3003.5687952652397,4082.1780000000003,147695.74971837708
-9.0,1959.0,155.36711609231241,4160.795704301923,4180.526000000001,313282.62100128795
-9.0,1960.0,181.35528655874535,6717.529588915494,6620.577000000002,460341.62333503383
-9.0,1961.0,96.50997664226189,6034.174049481672,4544.478999999999,433344.8976668815
-9.0,1962.0,62.093290907430074,6133.067964559611,3679.104,284552.6827242682
-9.0,1963.0,84.25216965809263,5629.947186919302,2175.308,369256.88005429687
-9.0,1964.0,87.05872768362579,6258.1907928562105,1606.533,415824.6361957232
-9.0,1965.0,95.48646952516964,5987.659234032519,4458.592000000001,417590.2163741813
-9.0,1966.0,221.8177930750606,6051.662808069448,25148.727999999996,267713.2246330133
