systemId,COMID,year,levee_year,year_diff,levee_area,county_area,levee_urban_%,county_urban_%,levee_urban,county_urban
1405000063,2087,1960.0,1968,-8.0,0.63,55.01040245478949,45.45454545454545,55.69620253164557,0.2863636363636364,30.638705164692883
1405000063,2087,1961.0,1968,-7.0,0.63,55.01040245478949,45.45454545454545,55.81127733026467,0.2863636363636364,30.702008274537288
1405000063,2087,1962.0,1968,-6.0,0.63,55.01040245478949,45.45454545454545,56.50172612197929,0.2863636363636364,31.08182693360373
1405000063,2087,1963.0,1968,-5.0,0.63,55.01040245478949,45.45454545454545,56.9620253164557,0.2863636363636364,31.33503937298136
1405000063,2087,1964.0,1968,-4.0,0.63,55.01040245478949,45.45454545454545,58.11277330264672,0.2863636363636364,31.968070471425428
1405000063,2087,1965.0,1968,-3.0,0.63,55.01040245478949,45.45454545454545,58.80322209436134,0.2863636363636364,32.347889130491865
1405000063,2087,1966.0,1968,-2.0,0.63,55.01040245478949,45.45454545454545,59.148446490218646,0.2863636363636364,32.53779846002509
1405000063,2087,1967.0,1968,-1.0,0.63,55.01040245478949,45.45454545454545,59.49367088607595,0.2863636363636364,32.7277077895583
1405000063,2087,1968.0,1968,0.0,0.63,55.01040245478949,45.45454545454545,59.49367088607595,0.2863636363636364,32.7277077895583
1405000063,2087,1969.0,1968,1.0,0.63,55.01040245478949,45.45454545454545,59.95397008055235,0.2863636363636364,32.98092022893593
1405000063,2087,1970.0,1968,2.0,0.63,55.01040245478949,45.45454545454545,60.414269275028765,0.2863636363636364,33.234132668313556
1405000063,2087,1971.0,1968,3.0,0.63,55.01040245478949,45.45454545454545,61.219792865362486,0.2863636363636364,33.677254437224406
1405000063,2087,1972.0,1968,4.0,0.63,55.01040245478949,45.45454545454545,61.33486766398158,0.2863636363636364,33.74055754706881
1405000063,2087,1973.0,1968,5.0,0.63,55.01040245478949,45.45454545454545,61.449942462600696,0.2863636363636364,33.80386065691322
1405000063,2087,1974.0,1968,6.0,0.63,55.01040245478949,45.45454545454545,61.56501726121979,0.2863636363636364,33.86716376675763
1405000063,2087,1975.0,1968,7.0,0.63,55.01040245478949,45.45454545454545,61.795166858458,0.2863636363636364,33.993769986446445
1405000063,2087,1976.0,1968,8.0,0.63,55.01040245478949,45.45454545454545,61.795166858458,0.2863636363636364,33.993769986446445
1405000063,2087,1977.0,1968,9.0,0.63,55.01040245478949,45.45454545454545,62.14039125431531,0.2863636363636364,34.18367931597967
1405000063,2087,1978.0,1968,10.0,0.63,55.01040245478949,45.45454545454545,62.2554660529344,0.2863636363636364,34.246982425824065
1405000063,501,1958.0,1968,-10.0,0.63,583.576624896926,45.45454545454545,2.512831479897348,0.2863636363636364,14.66429713973242
