huc6,k_levee_1,p_levee_1,k_county_1,p_county_1,k_levee_2,p_levee_2,k_county_2,p_county_2
10100,8.673617379884035e-18,1.0,2.4434755068503637,7.717131345159674e-10,8.673617379884035e-18,1.0,1.5306285108017885,1.3803707665701266e-11
10300,0.0,,0.4950442146408709,7.763046753273508e-09,0.0,,0.6158698492777765,5.8696422406138256e-08
10600,0.0,,7.380508679507664,4.773301763327636e-10,0.01878787878787879,0.0010528257933665396,5.664493513588786,1.25755193020948e-10
10700,3.469446951953614e-17,1.0,3.6647444157126294,1.565403306030143e-09,3.469446951953614e-17,1.0,4.417464512892156,2.269847361927869e-12
10802,0.02382194357366818,7.180794221408513e-05,39.3595111991863,6.686332411543611e-12,4.440892098500626e-16,1.0,35.980363661844734,2.1174882209948616e-15
10900,0.010118181818182581,0.005691829882963786,14.992819376237094,6.15199287903599e-13,0.03453333333333375,0.000818846790989119,14.294645519991406,2.8792596105960303e-12
11000,0.0037840909090911534,0.12150291881711059,54.231464473233956,1.067167004428056e-14,0.009527272727272829,0.0017128741493213802,47.23906214245886,7.013948093262376e-14
20200,0.006954545454545713,0.0056918298829635085,30.73624316850362,1.3580739192574645e-13,0.016067132867133127,7.917113430033641e-05,24.49564147644807,7.076796212243941e-10
20301,0.01819489337822683,0.00032837128947659405,2.0936170825401845,2.9861219049245707e-10,0.022603872053872265,1.4497994587619864e-05,3.0130763385442805,7.516681267092316e-10
20302,1.1102230246251565e-16,1.0,4.608814050773688,8.300164804493942e-11,1.1102230246251565e-16,1.0,4.692101309782249,3.200858650030172e-08
20401,0.006133333333333435,0.025293249585455115,4.3583831922124325,5.377361805291605e-11,8.326672684688674e-17,1.0,6.594331442234406,3.3065857539583146e-09
20402,3.469446951953614e-18,1.0,3.463553319894121,6.776776109178546e-08,3.469446951953614e-18,1.0,6.335937061148538,8.180827966173241e-11
20403,0.011141818181818215,0.001712874149321473,1.7344880808210545,3.788056563851836e-13,2.0816681711721685e-17,1.0,0.8496334765364324,3.947178548490539e-08
20501,0.20055955566981876,7.453921113682454e-09,21.99190508359888,1.218415483729606e-13,0.15009998451479234,0.0004151618482813688,29.954953738916487,5.686109369045459e-14
20502,0.016723424978260182,4.41041473187452e-05,7.066314086677167,6.096026176390548e-12,6.661338147750939e-16,1.0,5.732464449000567,1.208336799537975e-11
20503,0.0475880987864597,8.155931472557371e-05,6.479928240759801,2.04859596744089e-08,0.012727272727272976,0.005691829882963632,8.850892861729257,1.2480139659247861e-11
20600,2.168404344971009e-18,1.0,6.45669905040582,1.2567228960080932e-09,2.168404344971009e-18,1.0,4.639107016453824,3.091748043146498e-11
20700,0.0035580419580422684,0.12150291881712194,21.767138416280375,1.0109116519591388e-14,0.024915524475524753,5.8976595331264535e-06,12.243410966990197,4.740871730844507e-10
20802,8.326672684688674e-17,1.0,2.222833158919631,0.009039267108361988,0.00956509090909094,0.0017128741493214407,3.038063033879933,6.519257354898461e-06
30101,3.469446951953614e-18,1.0,0.09033399574987389,0.00017741116740783324,3.469446951953614e-18,1.0,1.5584512039872385,4.894204773219935e-06
30102,0.0,,0.06587666707148276,0.0004325259863981354,0.0,,0.16242005846934449,7.070710525065451e-07
30201,6.938893903907228e-18,1.0,2.001602780025559,1.5089060649922442e-10,6.938893903907228e-18,1.0,4.082380306305903,6.063961128830465e-08
30300,0.0,,0.3072434812323601,1.6757914059641604e-08,0.0,,0.5477751902799044,1.8102580861988226e-07
30401,1.734723475976807e-18,0.04973556311940205,2.4282752933696035,2.2009821954093906e-09,1.734723475976807e-18,0.04973556311940205,1.8885323058400978,2.656214983383933e-06
30701,0.017994016110471828,0.0017128741493214667,1.1801724452133229,4.5027275862975937e-10,0.0277407748369774,0.00016157695559655815,1.5885916734444505,4.514135625189855e-11
30801,0.1344102835347527,3.313190091265913e-05,9.802155000471458,3.582466447572326e-10,0.03635044398824849,0.015295550961785344,21.212454817871333,7.819244813600792e-13
30802,0.040119131828950716,3.339593339166328e-05,2.7925886305935137,3.129830670931363e-07,2.220446049250313e-16,1.0,8.808742758194569,4.423214398826002e-10
30901,0.5004784719779565,2.3389270200365632e-08,60.02095692941866,2.7459989601345993e-11,0.608559056062594,4.38642812021152e-09,43.28181160505028,2.334202826343384e-15
30902,15.32660567248715,2.1828983092891205e-12,217.70803464454383,6.05089224679322e-15,22.608305098715206,1.7087407925135432e-13,259.2552024457751,1.5209932297872433e-16
31300,1.734723475976807e-18,0.04973556311940205,0.015149862052208363,0.0010528257933665258,1.734723475976807e-18,0.04973556311940205,0.10112532919848938,1.4701878952522476e-06
31501,5.204170427930421e-18,1.0,0.09318146079632239,1.891857459749336e-08,5.204170427930421e-18,1.0,0.16552966816257042,1.2530442078168025e-05
31800,0.08113519385026735,1.6820875880200808e-07,4.355603478149911,9.560189013703796e-11,0.09056951871657792,1.6503882280532284e-06,4.545055861647247,8.436966135529122e-06
40500,1.3877787807814457e-17,1.0,1.365605022615842,5.831669770406037e-11,1.3877787807814457e-17,1.0,1.301640197703847,1.8176408876180225e-12
40801,2.7755575615628914e-17,1.0,1.1755706688275165,7.573981422899601e-10,2.7755575615628914e-17,1.0,1.2565523550331044,2.1992723720389622e-06
40802,1.0408340855860843e-17,1.0,14.988823550512635,4.7270972167252486e-12,1.0408340855860843e-17,1.0,11.146810131135297,1.049038096187276e-12
41000,0.0365439180537773,0.00023896708340128819,5.390509900869496,8.968918559500302e-08,0.007344696969697029,0.0056918298829636395,11.561701365213516,5.945527515841585e-14
41100,8.673617379884035e-19,0.022203904140477255,2.5102138836562204,3.269041660887561e-10,8.673617379884035e-19,0.022203904140477255,5.592153844711191,1.517556412262141e-07
41201,2.7755575615628914e-17,1.0,2.4436743796888294,8.623939584612364e-11,2.7755575615628914e-17,1.0,7.458452667921009,4.6254070822092816e-10
41300,1.3877787807814457e-17,1.0,0.43751413778250514,6.9346470870728004e-09,0.005197575757575772,0.025293249585455573,0.5204713639074985,9.918343215181133e-08
41402,4.163336342344337e-17,1.0,4.271296044335749,3.0480491697677353e-12,4.163336342344337e-17,1.0,7.772650525343831,9.641230449592258e-13
42400,2.7755575615628914e-17,1.0,0.9665405707620245,3.5393598060313986e-09,2.7755575615628914e-17,1.0,0.7866126232630828,0.0001329288525843175
42600,0.036543918053777213,0.00023896708340129296,4.930022227870289,4.275420513218396e-15,0.007344696969697015,0.005691829882963574,11.160560061753422,4.3252579927684803e-13
42701,1.3877787807814457e-17,1.0,3.7429139601734676,2.3199656282525412e-07,1.3877787807814457e-17,1.0,6.631343616142033,3.4361654753971965e-11
43001,0.0,,0.21213886167369234,3.3599654259923216e-08,0.0,,0.16402879840126783,0.00016065395825309728
50100,0.01769882367983666,0.00105282579336658,5.065117251710326,4.586529071307085e-13,0.009794783275796193,0.00466981750430517,7.51162508789016,1.3802905717090144e-10
50200,0.009126729986431464,0.0017128741493214565,5.159680849572119,1.459338104045162e-12,1.3877787807814457e-16,1.0,6.398925855225773,2.2545465835130097e-08
50301,6.938893903907228e-18,1.0,9.22189350782915,7.36719063000236e-11,5.204170427930421e-18,1.0,9.710188554284592,4.221876005585617e-07
50302,1.1102230246251565e-16,1.0,0.28062907378344937,1.7570821776339192e-09,1.1102230246251565e-16,1.0,0.24237838076201834,1.8769368520895384e-08
50400,2.7755575615628914e-17,1.0,4.921835496559808,4.56781199786164e-08,0.00865185185185191,0.0252932495854555,2.7101428984106697,2.4937696943134125e-09
50500,2.0816681711721685e-17,1.0,0.02764775437136935,3.866147652016927e-05,2.0816681711721685e-17,1.0,0.018558081701329887,0.0003283712894765906
50600,0.03578429480631751,8.420799009506074e-07,0.13143590875534983,2.195885937055747e-07,0.027534938320107005,0.00033445959028584804,0.1613614856782304,2.837176843981948e-07
50702,1.3877787807814457e-16,1.0,0.533931181717771,6.878214711008593e-10,0.010181818181818236,0.0017128741493214871,0.36043178359410977,3.837056608590782e-06
50901,0.027806153846154036,3.627722304035959e-05,0.3699426481589274,7.329704661338704e-08,0.02859888111888137,0.00031870235668655526,0.7577777160367223,1.0411584195013624e-09
50902,3.3306690738754696e-16,1.0,3.2858129628726793,4.6269190376560173e-11,0.01826033057851284,4.29735967365214e-05,4.902521688412097,4.272146671710928e-13
51001,1.6653345369377348e-16,1.0,0.5409350361729368,2.5242322219399545e-09,1.6653345369377348e-16,1.0,1.1579090535679226,2.6227873573928044e-12
51002,0.008031818181818244,0.00569182988296357,0.6592394127169825,1.0180549497608663e-08,0.008031818181818189,0.0056918298829635155,0.6285506814353299,9.74884481032875e-05
51201,0.04654234095547127,2.4940198240330816e-05,3.1793098525474903,1.0905092841459704e-09,0.08332580689653923,9.369546685275045e-08,4.514801893757902,2.8469199695081427e-13
51202,0.02457803119116131,0.0001139006336933837,1.1178293636557903,5.831013731691293e-05,0.059620526484068015,2.3452762142627556e-09,2.7413393789738514,6.813583192141273e-10
51301,1.3877787807814457e-16,1.0,0.13145500478409478,1.4651941744213046e-08,1.3877787807814457e-16,1.0,0.021989480236865866,0.00014963908190312019
51401,1.126091577754874,5.8702799993991035e-09,6.064260303716267,6.867569381151075e-14,1.0589870301830935,3.309205723519054e-08,6.986977449925792,1.710483496779824e-11
51402,0.03294566604153637,0.038204235317123726,2.425926872593429,7.745746521058501e-05,0.32985373252876826,5.782720792192137e-06,15.654260172223971,2.6994723389888677e-06
60400,6.661338147750939e-16,1.0,0.10493637258836364,4.810720831288948e-06,0.07104176676360308,4.261003922311077e-05,0.6137073053904265,3.812786621548355e-09
70101,0.0,,0.6517339026606499,2.6964034025625708e-08,0.0,,0.4491321374523758,2.4436537378428188e-05
70102,0.006184164222873989,0.025293249585455854,8.133092402218292,1.792265358704131e-05,0.009662756598240535,0.0010528257933665182,5.544373702870896,1.0428477543521466e-07
70200,0.024413950829045267,6.055178319308946e-06,0.5272793753398304,5.497980528676327e-09,1.3877787807814457e-16,1.0,0.8690354722686076,2.5500239801099244e-06
70300,0.0,,1.036389059455624,1.4794921516341346e-11,0.0,,1.5697354760175828,7.87977147860237e-10
70400,2.7755575615628914e-17,1.0,6.081270496697353,3.990777427906595e-09,2.7755575615628914e-17,1.0,5.126078502888159,1.400143006029854e-11
70500,1.734723475976807e-18,1.0,0.14280377494460944,1.0209960364545406e-05,1.734723475976807e-18,1.0,0.25795589054981183,4.7580910238462405e-07
70600,1.1102230246251565e-16,1.0,2.030059195542547,1.5265339267816535e-08,1.1102230246251565e-16,1.0,1.8100242037173153,1.860578206564817e-08
70801,0.1169699477993853,3.948816356310658e-08,13.413006032857169,2.036131728605838e-12,0.11266772607297115,2.2572716657316468e-05,13.39349641061844,4.0358481644316445e-15
70802,0.11848785911386761,6.339674986677707e-07,7.928050445239748,1.1613726254379657e-10,0.05670501745849643,1.037707974939204e-06,3.857718722309329,4.2954883969910226e-14
70900,0.11823018243087868,9.755144774614057e-08,6.204032766815018,6.443983417877455e-13,0.10816589356884632,5.86219452268639e-05,6.9009471259243895,2.5049438062896748e-08
71000,0.07034760571050702,4.2591426822865697e-07,10.693994046730069,3.367568835052531e-10,0.04946869035970547,3.7036802141701724e-05,18.42793005895814,1.2495314201185471e-11
71100,0.43263095320201184,2.9410629725154744e-07,7.096381329384165,7.445567974864779e-11,0.4574915329264835,8.086565495006336e-09,14.794822638476319,1.086927072953766e-09
71300,0.07972461041089374,1.2622710073748105e-05,5.154186665449913,3.392053752933847e-11,0.04499146032597384,2.977828130322907e-06,4.871535182291012,2.672060161197375e-10
71401,1.9481597160585977,9.330894703565633e-07,6.843091800701387,1.0756172499649873e-07,5.897671314653987,4.063288830646911e-13,19.273407891243238,1.5862316934113922e-10
71402,3.469446951953614e-17,1.0,0.009470880114247793,0.001052825793366392,3.469446951953614e-17,1.0,0.09016277868762823,5.695949553328787e-07
80101,1.483827924860858,8.139978705114341e-07,8.506617006730295,4.4218072082870245e-08,5.308937727906258,6.230574384858638e-12,22.25524486358657,4.401463138893155e-12
80102,0.8626596584411512,3.234892550565034e-07,10.06594011869025,2.3176980770940828e-08,2.820062864051593,4.1530879248504864e-10,24.425167115105623,3.626402936772524e-11
80103,0.6562431544522802,5.313822575187307e-06,1.38236669806221,2.283746737681157e-07,2.766648593671208,1.5791720216617602e-11,5.59554723952499,7.831476284688607e-12
80201,1.6883345851139708,7.980567979751904e-07,5.730229777918964,1.6431998904333155e-07,5.342560508164951,4.885350681748631e-13,15.065057474435122,7.619862838669579e-16
80202,0.7224865754310485,8.450626250529048e-06,2.4175568824407563,1.8064743207487534e-06,2.996450418945635,3.459190129049454e-10,10.4020289692157,6.068747952605894e-11
80203,0.2772534988341402,2.9410123186986318e-08,1.5264388540609168,1.009568702423534e-08,0.2518481354474891,1.7442723933857515e-05,2.7517006670368485,1.7919824997815397e-11
80204,2.535393527264585,8.948031895080868e-09,9.140845164813712,1.1273145468357849e-10,2.2050581951360577,2.853059885971015e-07,9.199414355757312,1.588959448475598e-07
80301,3.3333006630581714,5.3413175654146206e-11,12.145146051111325,2.3889189117623686e-14,4.837027201826437,5.986658308496784e-10,17.307314070748518,2.869411370950896e-10
80302,0.853911360230553,6.552947678515183e-07,5.201141066373438,7.35802189452719e-09,2.836718520048512,2.99301281543813e-10,10.322843934960304,4.844712831976215e-15
80402,2.624303177243277,5.458633522723186e-09,11.067083594427615,6.255271356165154e-14,2.253765289332403,2.3251058410551133e-07,10.920722271076961,3.6724591629996145e-08
80403,3.427245791122054,5.101304626778249e-13,11.94197794525877,1.8596928203203453e-15,4.44480595012282,4.331146955254245e-09,16.22373455280887,1.1071955282396051e-10
80500,2.5138131339532315,9.598214512454698e-09,8.467540688781177,1.3343890957676126e-10,2.148646289813408,2.804313001362144e-07,8.437135652475405,1.311596156790481e-07
80601,2.52410606324616,9.522967148802367e-09,8.793624813946849,6.190290267434977e-11,2.193111744358859,1.6784058664287414e-07,9.443792568492078,3.9750188948641057e-08
80801,3.412813834950393,3.417375476187036e-13,10.66640611371119,3.768923846685734e-15,4.416037438346034,5.857368978706474e-09,14.083313958728127,2.737011017729447e-09
