Levee_year,levee_urban_1,county_urban_1,levee_urban_2,county_urban_2,levee_urban_3,county_urban_3,levee_urban_4,county_urban_4,levee_urban_ratio,county_urban_ratio,levee_effect
1948.0,1824.0597023017526,20647.69229273876,1896.8933014800737,22282.577419054785,2065.387315335521,24649.21789728392,2244.6946928306047,26876.931599320913,1.461877203899797,0.36261176163295317,1.0992654422668438
1949.0,637.2696983208494,7451.411610480604,680.4475503991823,8118.454661691515,773.9237502218323,9159.351355567125,869.1287297179209,10106.767617018533,1.2049494107156744,0.4203225110156301,0.7846268997000443
1950.0,759.1172436293846,8186.71436604679,807.0827995386477,8885.097491436105,905.2090220247735,9970.360337429947,1005.3946287925613,10963.260308763322,1.088698960506365,0.42171243152514637,0.6669865289812187
1951.0,769.0765079741128,9028.767813826958,817.899781358727,9880.014323033185,918.0356553782769,11163.293611991578,1020.149031835985,12316.768617268626,1.0914897625419662,0.35504227365659946,0.7364474888853667
1952.0,861.5187378840494,9985.09804408291,917.1803907907955,11038.143777796871,1032.8308361407255,12591.214316128884,1149.4789321474436,13948.240528570637,1.0956635298298973,0.2886678792721473,0.80699565055775
1953.0,916.0050764082218,9588.25013306493,975.7231069446636,10584.261488743761,1100.0507393323219,12096.738433549226,1228.0558666393579,13415.981122420757,1.1434921104593911,0.324525750986445,0.8189663594729462
1954.0,896.0741255417408,9370.370677529854,956.1917105424869,10493.064789815448,1080.5072231634454,12082.821065798144,1207.6710564466075,13398.619931993326,1.1152518565338907,0.17200121724738016,0.9432506392865105
1955.0,493.8302274302431,8114.562881469028,544.6000659368763,9241.086159595023,647.2134870339842,10769.546829046842,747.6569261850036,11984.63552145141,0.9784076945191849,0.07861836146511281,0.899789333054072
1956.0,513.1130680412938,8836.42895768979,567.1409643270939,10183.501579652195,670.1906742419585,11918.812893064369,771.5766830385979,13276.815374221866,0.876549260040062,0.008113786158885361,0.8684354738811766
1957.0,485.33467680384985,10787.336196378945,514.0543782141244,12312.49770855148,564.623477681941,14086.01716376466,617.1696126499368,15481.833362610452,0.8296198215068193,-0.0848076169601838,0.9144274384670031
1958.0,508.5538921208273,11834.881009935372,539.2800124441026,13480.78556969578,590.3895115069648,15337.760480013898,642.1650387954936,16805.20285998381,0.6850655645356059,-0.10842802441502142,0.7934935889506273
1959.0,393.8066177440896,12831.499482259951,420.75232406669477,14573.27842156591,468.1091895267947,16509.618326801345,515.2856747852318,18055.460830737306,0.75079787086004,-0.11249213717561224,0.8632900080356523
1960.0,438.60197913641497,14722.604599853406,469.7393886918938,16590.723210316355,521.5703722403132,18617.876969321856,574.401821959076,20326.606711323126,0.6967194918585236,-0.08532052920460997,0.7820400210631335
1961.0,373.0623183201476,15680.578608861117,398.9224384610593,17526.44654125266,437.5170328802684,19455.83082432606,477.8845967470388,21125.70944051327,0.5609967643927289,-0.09534231193686671,0.6563390763295956
1962.0,317.9420138210893,16695.772384986616,339.49315628275053,18672.01775987596,366.7960817066032,20749.29830796212,394.77586825886885,22606.088661372905,0.29829713677781755,-0.060445440124177185,0.35874257690199474
1963.0,495.8781235677414,18820.23690975091,534.8024160907619,20795.585232681035,584.0553547694237,22928.416384447024,632.1980212931998,24931.40246980075,0.23682829932756366,0.013991336162224144,0.22283696316533952
1964.0,418.9180151768334,18724.711619761627,457.03953899310875,20669.571632641968,504.0461920081927,22794.142190515027,548.9858367997134,24847.056042053897,0.17885226750391636,0.05555867154597971,0.12329359595793665
1965.0,380.08106759731936,19246.154108651666,413.84449921785216,21079.74481559316,471.07509222892384,23376.79062138925,549.3414537572996,26279.548613732994,1.318080768803699,0.5831002967863352,0.7349804720173638
1966.0,352.8447765215728,16852.944413886285,384.88278038568023,18357.000993116915,440.28890353980523,20380.778766910284,517.4710220959414,23027.287865312654,1.4090801313187993,0.7595808129479671,0.6494993183708322
1967.0,345.8997328080189,16178.314950255683,376.2852607102245,17548.40633876601,431.9024761832069,19471.315250551706,510.91344580522747,22020.389826290404,1.6002829332540673,0.8605142672345782,0.7397686660194891
1968.0,347.13283842199934,15002.560110645145,377.28777831201165,16304.833325141275,433.2565284680557,18320.540450333297,513.3831294928075,21060.127096355533,1.6571633475976748,1.1036957648570112,0.5534675827406637
1969.0,314.59326990986955,13367.811744541314,340.60267127850915,14486.54718961886,391.6799166731107,16361.267473631937,466.05620067051024,18869.370365968112,1.8595923044610125,1.2419088475044475,0.617683456956565
1970.0,288.63347630834824,11918.45676866273,313.08178756942294,12901.466697550142,361.8808507628548,14664.94006060094,434.1863010632369,17050.541428856646,1.957482401473798,1.4268334409966466,0.5306489604771514
1971.0,275.22567026077564,10729.445651516937,299.10789902051226,11554.942574254455,347.42659316726963,13128.654262397391,418.66864017916566,15282.337377771823,1.9830568883924262,1.608953535807708,0.37410335258471816
1972.0,101.04027627758418,8375.473616031239,109.30198516552676,9026.962511763842,138.79758341372403,10396.409881684975,191.68253276604463,12323.067433909757,5.4012119126471205,1.95731449122896,3.4438974214181606
1973.0,118.53638144173367,7575.600312080812,129.7822297673154,8189.606209862088,163.23103379592658,9462.417724565481,217.05574861814952,11222.292549655049,3.7861853782772403,1.866218111990316,1.9199672662869243
1974.0,122.67464466550375,6097.820378113886,133.94451759751124,6591.064800446259,151.68837712488443,7436.495377867963,166.36020028776207,8145.557080470365,0.3018623414296271,0.4375463167926119,-0.13568397536298482
1975.0,122.19347272094066,5663.836711389969,133.31076688759583,6122.687532308826,150.67232880400155,6873.5286503377665,164.92811758226384,7534.769442213411,0.28230741802448733,0.44108011085497956,-0.15877269283049222
1976.0,114.18952106801332,5372.099905714293,125.0463643975982,5810.097679063778,140.66277200623557,6509.073312989494,151.7377577378682,7123.979448471169,0.020092617662937462,0.40390242347426675,-0.3838098058113293
1977.0,135.82192619046506,4914.966697316007,150.8306032853781,5305.33053093598,170.73547131137997,5800.501660976726,184.65775475298977,6109.874218369483,-0.07238437114963558,-0.20747638293270465,0.13509201178306907
1978.0,118.45858629674413,4171.615500715083,132.68461588561877,4486.486043226108,151.12125316417095,4850.697657890018,163.48618710005852,5083.726040752206,-0.13082326599703764,-0.2599232020758854,0.12909993607884773
1979.0,126.16586321910577,4849.616196064098,140.56181451340677,5227.958520532009,159.21681148188142,5651.699420837671,171.64235006893176,6003.565916131951,-0.1368726989254747,-0.069978502169604,-0.06689419675587072
1980.0,124.79472562937103,5421.588446077707,139.1098438190158,5824.181063018774,157.66200949013506,6288.750536635243,169.8454984401052,6714.676548446335,-0.1489075543376659,0.05795783103851693,-0.20686538537618282
1981.0,117.18994845031455,5864.232569767247,129.49987559877218,6309.984699223048,144.8697143890983,6810.540974855989,156.2681347136622,7324.59416662508,-0.07404648402065905,0.15322655305466792,-0.22727303707532698
1982.0,72.5913516505961,5121.211694038344,80.75253079099409,5503.481178527383,90.56782034316153,5960.911186693493,98.17083104179737,6468.014267061777,-0.06839311233829004,0.32655914464661984,-0.3949522569849099
1983.0,107.24575241567103,5009.6827962199095,115.50181218536538,5377.801989804519,125.1922628270087,5828.8524436476255,132.91909270097347,6369.285714487914,-0.06410199423122376,0.46809316183095184,-0.5321951560621756
1984.0,108.12859060949889,5041.484165185466,116.42176968181266,5402.365111672198,126.32262400860695,5865.9013734922255,134.31239326462452,6408.621276945603,-0.03658546543497687,0.5038751941239756,-0.5404606595589525
1985.0,98.92669266296545,4799.633610629724,106.17784054317903,5135.690552843956,115.54024926272504,5571.872352096301,123.42997641347942,6094.088961198764,0.08806595605136014,0.5539527487861178,-0.46588679273475764
