year_diff,Levee_year,levee_urban,county_urban,levee_area,county_area
-10.0,1948,1600.9138537957867,22496.400007790802,91930.846,1284071.8459548445
-10.0,1949,927.9055708260173,12087.228981885284,48802.56799999999,679268.8556417215
-10.0,1950,929.6283159329612,12342.24701032142,48868.97999999999,696068.3730946621
-10.0,1951,1066.9645021458048,13543.847652177381,49172.243,747080.7258341021
-10.0,1952,1058.3824262261182,13886.49784659169,49971.729,749371.7898201294
-10.0,1953,1120.0799943304373,13957.08188472895,54227.366,703608.971897891
-10.0,1954,713.7114236376137,11459.923902893559,11550.208999999999,530975.831353181
-10.0,1955,517.1976843409395,10670.54480952958,10580.948,433447.8784749297
-10.0,1956,572.2921444631095,12484.99937710291,10642.627,442571.236781059
-10.0,1957,612.1205254622258,14436.899267243003,11770.215,662726.3449977838
-10.0,1958,551.8082983005953,19379.264346456297,14077.869999999999,809617.2490167164
-10.0,1959,552.4628797918929,19390.77556602312,13921.821,804693.245297546
-10.0,1960,482.9732789363407,20738.955384255692,9233.081000000002,809058.4646209024
-10.0,1961,389.70490109945916,21269.895695050567,9086.141,999617.217341747
-10.0,1962,394.48899392036355,22367.169622750203,9199.091,1114753.9441165687
-10.0,1963,303.79365739385383,20749.951190223233,9481.764000000001,1105013.0081076026
-10.0,1964,439.2923591198267,22319.061415732194,30019.811999999994,980759.6887566671
-10.0,1965,454.6496574534268,18735.111778921397,28443.720999999998,898435.0596969539
-10.0,1966,463.3875005178278,20687.431717349475,27910.764999999996,983550.9367632319
-10.0,1967,443.14132035989996,19365.59467068883,27629.801999999996,947955.7495066779
-10.0,1968,403.850328266048,17128.213980786553,26989.670999999984,786478.1333058375
-10.0,1969,409.96853214379865,15504.998536997715,26961.057999999997,719065.2279818221
-10.0,1970,405.0708993563386,16276.217415884052,23968.143,769051.8381976589
-10.0,1971,233.23313273073904,14048.22222737669,2447.839,690040.3803042326
-10.0,1972,146.79378685187714,12331.119020860775,1480.831,609153.416709159
-10.0,1973,142.7133539158129,9787.820254126105,1813.5080000000003,487358.7041011467
-10.0,1974,178.69282677386758,9363.660985260325,1935.0159999999998,509423.9832499159
-10.0,1975,174.37844492078466,9601.65596783344,2036.497,443508.4551294069
-10.0,1976,150.1281454055542,9818.005315370267,1880.9590000000003,433347.72442132654
-10.0,1977,126.93506339274643,7364.8630213606875,1710.026,339223.0029196706
-10.0,1978,155.76336261201845,7573.2121638868575,1731.8519999999999,370665.2071812281
-10.0,1979,277.02823230437286,8327.148329039193,1900.9070000000002,381269.83179695136
-10.0,1980,260.5118275017393,8468.69217296837,1317.279,384544.8522046872
-10.0,1981,217.68411744227788,9473.828335232367,1188.8709999999999,352789.6875780011
-10.0,1982,212.136910787049,10091.105385223858,755.1,383461.4334040765
-10.0,1983,222.79295371307035,10013.060156632038,742.272,357533.2071721439
-10.0,1984,264.4508917227921,11348.801485635271,927.0569999999999,327844.3652256676
-10.0,1985,239.31623095105252,10469.312797493965,744.2839999999999,279275.2355607354
-10.0,1986,115.19518560180343,9332.890153380296,512.657,244926.25264059048
-10.0,1987,122.3953694154164,9990.521397918788,516.0,240676.1007278257
-10.0,1988,127.68049308286686,9231.822925851131,609.3570000000001,267015.6048987783
-10.0,1989,123.45099949655767,8451.180022053471,551.7869999999999,216937.04214827847
-10.0,1990,107.13791288955474,8781.895912496728,664.948,192435.79486114907
-10.0,1991,104.88307922754939,7889.5003918243465,503.15000000000003,184836.67729659443
-10.0,1992,171.55378745160473,11034.641922546109,1808.6299999999999,206099.39915351613
-10.0,1993,168.46805160254812,10574.2155237649,1803.3829999999996,195152.0933543518
-10.0,1994,147.3889675976641,8754.931106882932,1770.3719999999996,158996.40825092734
-10.0,1995,461.85182461099345,22164.75859579884,5948.231000000002,285685.9264911774
-9.0,1948,1620.1719504205794,22846.278716446814,91930.846,1284071.8459548445
