Levee_year,k_levee_1,p_levee_1,k_county_1,p_county_1,k_levee_2,p_levee_2,k_county_2,p_county_2
1948,16.21866373996282,6.739910296398886e-12,361.4300543413126,2.498425592636282e-15,25.874982619567874,1.4471907875117707e-13,501.23124433049793,1.3120310116999348e-17
1949,18.036958866891155,3.4204016002744095e-11,205.97980367626565,1.135811830499115e-12,28.81240119775711,8.445493906286043e-15,297.15522778479453,3.8612997415600205e-18
1950,18.223690151895262,3.312867853660794e-11,218.63363396595332,2.3697739671331482e-12,29.236762423394026,7.91592144853958e-15,316.3643236608634,2.2319423292494267e-18
1951,19.209860908601996,2.1101177005294212e-11,233.4447981672505,2.0674990338447677e-12,30.295370606037395,1.8567330271676994e-15,334.36069439439734,7.976167909853127e-20
1952,19.105006948352923,1.7953615072566965e-11,250.24935297415482,3.575067321730875e-11,30.084057945568873,1.0685960092483561e-15,351.42051211265766,1.6421329510845375e-18
1953,20.506283378510446,5.170880761311516e-11,279.1520299200304,2.2175762261327957e-11,32.80368563809232,3.3462315062551456e-15,358.8931595103031,2.1246613859556875e-15
1954,18.831459002985802,2.2037971811202923e-10,241.80397396027968,7.162090937773949e-11,28.88215672134642,2.1981481291698728e-14,293.4135455264129,1.3734576796686e-13
1955,10.97860503315274,1.1331900353418602e-08,276.666122364377,1.643054698702941e-11,20.278718362241158,2.545600560527211e-17,285.8775111366823,1.6700613938309947e-12
1956,5.879271887505382,8.177104227819078e-10,287.3551106795777,4.117052523382382e-13,9.944522426948403,3.356870762973254e-16,269.7064570114587,9.980539195295069e-13
1957,6.749981763661779,1.3809556239025816e-10,340.11900336533427,1.9250330742466854e-14,10.738679988432601,2.1218396438374334e-15,307.87022359084585,7.615575457299775e-14
1958,6.409084266190632,1.1380697137130474e-09,457.785790397799,3.7188560768893706e-19,10.2773841611152,2.5786268811638355e-14,398.1170430213708,2.959439963602227e-13
1959,6.8071730466612195,2.561837200261591e-10,454.8153679354832,4.935206632393585e-17,10.194229111738238,4.4878971927259416e-14,387.2234012438346,3.053027165039078e-12
1960,5.582317760274634,2.6810979045622868e-12,435.8005077704022,1.3450691944020552e-15,7.355707154085636,4.933502986889284e-12,372.7292838470905,4.3396982739516854e-11
1961,5.520815720790726,3.0228057418850144e-14,484.11422622205464,2.0587813963124176e-14,6.0301411307612796,1.6546199705611345e-10,424.3392656880112,1.2280646231471583e-10
1962,4.991821581738108,7.262649823495305e-14,463.63607022361657,1.701548466489286e-13,6.228425244496616,5.878916532476358e-10,425.15624988774243,2.6955030405655867e-10
1963,4.262668835423423,6.479543373492815e-13,441.71347971045407,2.554404113930817e-13,4.630091117177656,2.5525208733967028e-09,424.86854839789066,1.7353936994634836e-10
1964,6.811846442462045,9.960181565705726e-11,434.14861731024416,1.0908627507683022e-12,7.493939695899876,9.277614519273029e-13,436.1814687534368,4.493314176529296e-12
1965,6.566327164541914,3.698624024056072e-10,335.58860177981956,5.510815845901016e-13,7.722529371087447,3.8329099855874986e-13,381.2834247687906,1.665352028027302e-12
