systemId,levee_effect,levee_year,levee_area
3805010033,-0.12895593719544074,1957,69.425
3805010035,-1.0459735444844798,1963,35.714
3805010038,-54.04076184890461,1958,5.6110000000000015
3805010042,,1978,0.14800000000000002
3805010043,-4.550389280064504,1978,0.217
3805010044,-1.4837054519432291,1951,51.556000000000004
3805010047,16.548535853454325,1956,19.7
3805010049,-20.377574882104298,1967,0.08
3805010050,-23.091813658808302,1958,6.715
3805010051,68.1469246758339,1961,0.792
3805010052,104.44002812410973,1961,1.0290000000000001
3805010056,-5.023016812393699,1960,20.348
3805010057,-4.069716196604922,1984,0.136
3805010058,,1984,0.086
3805010061,-2.1103135379966442,1961,15.856
3805010062,-0.7833191171977338,1961,20.007
3805010063,-3.3678032420346726,1984,0.33
3805010067,2.2470588420073767,1962,1.104
3805010069,,1961,1.5859999999999999
3805010070,18.776301775816595,1960,6.405
3805010071,-28.470639885070483,1956,5.327999999999999
3805010072,51.634117710725256,1956,3.194
3805010074,9.443141722636206,1959,13.800999999999998
3805010079,-14.349638441424318,1961,1.421
3805010080,-7.37630083023868,1981,3.944
3805010081,-31.32256778833309,1956,0.9420000000000001
3805010082,-25.253617680178643,1961,4.34
3805010083,-1.5874162063279629,1958,3.786
3805010085,23.298395721925136,1961,5.6670000000000025
3805010087,-22.804781425471067,1974,3.1630000000000003
3805010088,-22.804781425471067,1974,0.745
3805010089,-10.982508803325096,1983,2.2430000000000003
3805010094,,1960,1.595
3805010096,-26.680943276916437,1963,17.875
3805010100,3.410950313444072,1957,2.105
3805010101,-8.701408659346722,1957,0.752
3805010102,-5.5889691671513475,1957,1.425
3805010103,-8.681199689376417,1959,0.222
3805010104,-5.758413224851533,1957,1.7619999999999998
3805010105,2.4299114217346984,1959,0.33399999999999996
3805020006,-6.477988236768573,1978,2.6719999999999997
3805020008,103.89732829455576,1984,0.914
3805020009,24.00253783716191,1984,14.205
3805020015,-6.344928007224038,1971,38.96
3805020017,860.0321261682245,1964,0.26899999999999996
3805020019,,1964,0.591
3805020021,-39.96787383177569,1964,0.21
3805020022,-40.9245650940107,1966,11.245
3805020026,,1983,0.992
3805020027,-29.72201436841544,1983,2.16
3805030002,,1961,0.654
3805030003,,1961,0.938
3805030008,-24.179026430102457,1973,25.649
3805030012,-4.535228795711266,1979,1.6380000000000001
3805030013,-29.49250242885595,1956,1.6130000000000002
3805030024,,1961,1.091
3905000002,0.23279759101622055,1960,212.87599999999998
3905000004,-6.773894215898557,1981,0.6890000000000001
3905000005,-11.70413488558808,1951,1.6769999999999998
3905000006,,1971,24.91800000000001
3905000009,6.74509803921568,1953,0.243
3905000011,-29.037977579501263,1949,20.197
3905000015,-6.1930124555392485,1976,83.60700000000001
3905000016,32.55316471624514,1971,2.228
3905000017,27.156862745098053,1953,1.0659999999999998
3905000021,-16.495142829662402,1977,1.7930000000000001
3905000022,-3.968253968253932,1950,1.196
3905000023,-16.458997392060294,1955,2.697
3905000027,-0.8471454880294882,1950,12.517999999999999
3905000028,-9.152984969645207,1954,197.375
3905000030,-18.156756373435435,1954,8.899
3905000031,-8.202950379973206,1951,1.7790000000000001
3905000032,-10.438175429643671,1949,44.83
3905000033,-4.561337569198631,1952,26.933000000000003
3905000034,-11.891279728199322,1971,19.52
3905000035,-8.095515433896328,1968,3.638
3905000036,-7.037037037036997,1949,0.7090000000000001
3905000037,5.942441345212024,1964,0.505
3905000038,-1.011904761904825,1951,1.082
3905000040,-13.427116914068016,1974,204.706
3905000041,-1.1612903225806548,1949,4.794
3905000042,-0.28169014084509225,1949,65.036
3905100001,-30.299143079072355,1994,42.681000000000004
3905100002,-25.001669566439986,1994,0.21600000000000005
3905100003,-30.226894791665117,1994,2.688
3905110001,-40.675068884580035,1970,1.767
3905270001,80.5493608920315,1950,0.14800000000000002
3905270002,-9.450639107968438,1950,0.196
3905270003,-9.450639107968438,1950,2.006
3905270004,-9.450639107968438,1950,1.3159999999999998
3905440001,-7.9368865778394415,1952,8.69
4005000001,0.3738121090159918,1950,66.859
4005000002,0.39332111230339084,1950,13639.157
4005000003,-4.777797024391961,1950,1262.751
4005000004,-0.5894390873441901,1988,29.051
4005000005,-7.795745174990798,1950,209.101
4005000006,54.49068488150406,1950,1012.403
