Levee_year,k_levee_1,p_levee_1,k_county_1,p_county_1,k_levee_2,p_levee_2,k_county_2,p_county_2
1948.0,7.796090385651439,4.8003059848660416e-09,250.92215419178,1.0762346215242785e-14,17.956001854069896,4.512327686959357e-14,335.6332906812397,3.8473487383519526e-18
1949.0,9.158225266919189,8.257536587921647e-09,137.50876704233372,3.9268736218077875e-12,18.892200956181455,5.553754306485855e-17,194.62769935708525,3.0136050515390206e-18
1950.0,9.344956551923339,7.4225992261067955e-09,150.1625973320222,9.087408258933899e-12,19.31656218181832,6.930988793403849e-17,213.8367952331539,2.563245364271662e-18
1951.0,10.303230756905933,2.522835053650778e-09,159.1124800726475,9.378215691372128e-12,20.375170364461688,2.443144318076719e-16,225.17186024370085,1.0268241477455475e-19
1952.0,10.198376796656888,1.864880573160058e-09,174.7669857496228,1.5060461803963135e-10,20.163857703993195,6.641630369917143e-16,241.5165248334913,1.0555100267545307e-17
1953.0,11.61221649212051,4.2909953131022476e-09,212.2489136901263,9.57448044366123e-11,22.933738457741114,4.9174754052175994e-18,268.30375451506916,8.97299512693577e-15
1954.0,9.889144448978165,3.105005976555884e-08,188.39896765380394,1.118431204559914e-10,18.917738272858458,1.167305514760325e-17,216.45162848273196,8.442375522369736e-13
1955.0,9.660302564038755,1.3523232288933416e-08,219.27764381690452,3.6783044211550376e-11,17.940341950123184,2.587862192223872e-17,222.619353463204,4.354670990272587e-12
1956.0,5.066019761602519,3.839549858499059e-09,221.07872103806676,1.3524864570593746e-12,9.707871613357142,1.609803029224351e-16,212.89957743912498,9.544901711083162e-13
1957.0,5.936729637758916,6.889538624468895e-10,265.0472761171958,4.485227908108497e-14,10.50202917484134,3.719003542994856e-15,241.58073939162875,7.755898387715443e-14
1958.0,5.596952854748018,5.228926191748362e-09,351.00081629834244,2.638324839097627e-18,10.026095540886118,2.2762446794357234e-14,309.54751070336715,2.881613488365132e-13
1959.0,5.995041635218584,1.1798003769242836e-09,345.9610145925849,1.2190691500975908e-16,9.942940491509141,3.7075915527673706e-14,299.91040979319223,4.755882664911864e-12
1960.0,4.770186348832006,3.93690528960279e-11,320.36989442763945,1.1301889209644204e-14,7.104418533856535,1.0575915209024844e-11,278.5752373858752,1.429218856246662e-10
1961.0,4.78928295649159,9.334284798090336e-14,368.01856636776256,6.876706051501827e-14,5.848408254193416,2.992775326233674e-10,331.45335852242783,3.5010703100727965e-10
1962.0,4.949342247970712,8.887969094674243e-14,363.1361586418177,5.101862635320856e-13,6.188871913383281,5.67555711174678e-10,341.4398505799861,6.243486527122141e-10
1963.0,4.198577871386867,4.1327994202667885e-13,354.0531081943309,6.983832300879261e-13,4.590537786064338,2.486109538487386e-09,341.82931064717104,3.585434401652388e-10
1964.0,6.737637296607289,1.0050063334987907e-10,344.66052551197845,3.372646370948435e-12,7.454386364786544,8.939923684232503e-13,348.11541029043406,1.3767763668780239e-11
1965.0,6.487891956532554,3.5085934649485914e-10,277.4975377548204,1.1947895219619463e-12,7.639390767216202,4.28020380716448e-13,317.1134340608569,4.993467280043401e-12
1966.0,6.093908517062868,1.2419826083323994e-10,275.42226790818063,2.7411117989267562e-12,15.292457800633414,1.1477569068848023e-09,495.28932520530725,1.451958392718268e-09
