Levee_year,levee_urban_1,county_urban_1,levee_urban_2,county_urban_2,levee_urban_3,county_urban_3,levee_urban_4,county_urban_4,levee_urban_ratio,county_urban_ratio,levee_effect
1948,753.3199088635195,12617.99491042463,773.9121479267326,13671.391345247914,818.9607871720269,15131.922102502725,865.9736099551785,16547.525857509834,1.2830359845198838,0.3438471103659926,0.9391888741538912
1949,880.7482527883103,10575.27465408296,941.0802722179089,11331.390129182084,1036.0024648775204,12453.786832204843,1119.11534551049,13543.92582164768,0.3775915578286566,0.4417625684753004,-0.06417101064664377
1950,961.6874584947582,12463.920084145317,1052.034669219514,13495.856417107734,1209.6583649193606,15091.750415935714,1353.7544343222348,16575.805906793597,0.5949144223374561,0.43812698851057097,0.1567874338268851
1951,929.7340656606536,11418.428743511315,1019.6885143215065,12355.393227139788,1174.4603959074602,13874.760652293768,1317.7452091145633,15285.477437512145,0.5928596677560307,0.5056246099694823,0.08723505778654839
1952,1025.276156787553,10959.124075642098,1118.8660943978539,11825.57399462812,1277.0587272717971,13214.13769542092,1423.6736527537214,14490.669853753003,0.5665671890114305,0.47329018141748613,0.09327700759394442
1953,487.1698107416802,7354.638479819179,567.7651417315914,8166.725327378462,699.677140106512,9432.53288297219,813.9317700569105,10510.918737018186,0.4176333609784517,0.327919368829914,0.0897139921485377
1954,355.1376623287616,6875.528179977759,400.3543015295144,7820.470168850654,488.86459035473433,9196.583312913785,574.6001885788394,10298.472473406491,0.8961072680226474,0.1660918590431295,0.7300154089795179
1955,426.6130867018286,7698.007127718571,447.3219831123264,8472.82238287178,486.1030203161449,9521.600682158813,525.2259162634516,10356.849353432237,0.8891830434515295,0.07799719445155362,0.8111858489999759
1956,450.2857088766583,8984.086857664213,474.334372009084,10034.418286129445,514.5214572434613,11313.323990363602,552.4813654924158,12250.835002977048,0.5784623053649782,-0.10741411024579295,0.6858764156107712
1957,440.25844726602963,11497.774943503166,463.7801196321963,12803.34512211067,506.534719173202,14371.065266172856,548.9162136215831,15529.202683361538,0.8018061721386005,-0.11292595666980632,0.9147321288084068
1958,458.85042399148404,12162.909623860358,486.61432958236753,13557.49912402126,533.382157409706,15158.157261447623,579.9116058157654,16337.013419242872,0.6758970834902167,-0.1546930780281669,0.8305901615183836
1959,429.6053154023149,16798.398731671925,452.17095658362115,18559.057473285,486.1399313420169,20466.043228727805,519.9940231181246,21912.388829794432,0.5002494945347686,-0.17852019424189025,0.6787696887766589
1960,304.2605703024812,15791.155576890447,324.2737209699573,17669.61789639809,347.3429519056789,19658.83483503953,368.2785512746891,21176.47480087141,0.04609212796429918,-0.19208389219664468,0.23817602016094386
1961,315.25130316179445,17361.62283245109,333.34478856243635,19097.76461967396,355.5394340786373,20948.5707140825,376.48425777619406,22458.20205925451,0.15758922251727547,-0.1304677093298856,0.2880569318471611
1962,245.65620337673326,16979.52931191548,264.6365502965938,18734.0526343608,285.7251644333017,20548.41903827549,304.907399093942,22138.269779905597,0.010636672850722118,-0.0938560227205778,0.10449269557129992
1963,231.1734046302698,17275.995129389503,246.61489095762744,18936.885727176435,263.8947429596193,20610.926694982547,279.0720876696781,22130.036906941288,-0.017105970999101605,-0.08536407275536861,0.06825810175626701
1964,190.56084645199343,12919.753215792118,203.66760933014024,14139.741979580966,217.6142962438561,15413.13058673,231.55116277827878,16723.455183103284,0.06333399512856963,0.0740464463819206,-0.010712451253350963
1965,349.5145303117791,15119.60015819633,377.8462155885144,16406.53418778303,412.5538786579612,17811.904754795414,445.5903166858898,19271.189907874694,0.1660597562495374,0.13392382168022388,0.03213593456931352
1966,406.165824365557,14622.445723380684,434.0594704533676,15880.95287757887,470.41544884515497,17333.831449462607,506.4689233423702,18870.167741634246,0.2925335893241441,0.22076087294908064,0.07177271637506344
1967,382.13886669007707,14943.339004235784,408.3269702615605,16104.035199123275,460.7119442609136,17901.30781382042,538.5710821905925,20624.48721369257,1.9730727815839515,1.3461603577808892,0.6269124238030623
1968,368.44806623878543,14077.04022396795,393.54678285830016,15109.231518882623,444.31824787720706,16863.49678645713,520.7676588707907,19489.440616982272,2.0459490081713083,1.5440476425856864,0.5019013655856219
1969,350.71703395913244,12993.3345712744,376.3324738346554,13882.381131748383,428.6330326553184,15491.098284426495,506.82917638804895,17886.89065876601,2.0526957222956583,1.6947884181254005,0.35790730417025785
1970,199.7150255147472,10021.029332498885,208.06423015200934,10697.317097940006,238.85492532819347,12185.58892188439,297.99672012574854,14560.596892852263,6.083524403463263,2.511830454922889,3.5716939485403745
1971,138.84803276353392,10220.80060382066,146.20875221776632,10942.398341682047,175.1676570889901,12491.73302542232,232.20498046926872,14771.425005800891,6.748878860949157,2.1592282801979685,4.589650580751188
1972,108.07946410283805,8133.935913301044,111.79236060021569,8747.270628907212,118.06877447289938,9745.914575327182,125.49973314439974,10526.85471257859,1.0013912794899422,0.27326909333607885,0.7281221861538634
1973,98.42977407583638,7230.332160846791,101.82210821458173,7815.825514007636,107.81791093312802,8712.575208026292,115.06885863463272,9427.05954312612,1.1374509128356212,0.22031160771102387,0.9171393051245973
1974,110.11195431443814,7275.603717724991,115.40748297738273,7872.790154079679,123.32336129696452,8736.866849590508,129.61052971523324,9412.521295162178,0.18725982209540648,0.13139616782986896,0.05586365426553752
1975,129.1546306082335,7688.475898168132,138.59693943595784,8320.761548897066,152.67888704201528,9068.06382364763,162.2449516676797,9499.26411191689,0.01310651877607616,-0.31802929930143486,0.331135818077511
1976,111.91487581197339,6120.63976927115,121.8340111130473,6669.567614277634,134.70527223237772,7220.058089632495,142.57624324658178,7563.760028586636,-0.20648617290744098,-0.3738668167761079,0.1673806438686669
1977,117.22266680611713,5681.173863986279,127.28086877385769,6168.079532932206,140.19186322652143,6634.802982017243,148.11311881215406,6938.121597851216,-0.2124580903188975,-0.37704850204227625,0.16459041172337874
1978,120.39581947060813,5136.786791529117,131.3449118334849,5574.486210970112,144.4102898268108,6000.971067467589,151.95049172678026,6282.539517598293,-0.3113400042605604,-0.35670819374102014,0.04536818948045973
