Levee_year,k_levee_1,p_levee_1,k_county_1,p_county_1,k_levee_2,p_levee_2,k_county_2,p_county_2
1948,4.175317298932136,4.734718227547308e-09,210.45966284896167,1.1585544532559345e-15,9.30012639857761,3.538415454090255e-13,283.2044132477107,1.90754978179573e-16
1949,12.043346441030735,3.05355720995106e-12,150.97039149235093,1.815578065814937e-14,16.574856220990284,3.983609742941156e-13,218.02683108278666,2.0443247759865353e-19
1950,18.036958866891148,3.420401600274808e-11,205.9798036762652,1.135811830499258e-12,28.81240119775711,8.445493906287236e-15,297.1552277847942,3.861299741561841e-18
1951,17.947664956786618,2.19183651384026e-11,187.59863665875935,1.567317033958107e-11,28.647589500785372,3.8280578712649074e-15,282.3693667026355,8.001982222707764e-20
1952,18.657577181726765,1.7575097037710808e-11,172.84204619195202,1.5675482997971337e-11,29.343870035143695,1.8888898806197747e-15,255.21281037349456,2.1743807652034147e-19
1953,16.03402376651331,2.8201202207078947e-11,162.46243671488003,1.6208139111696557e-10,22.91377796310227,3.609636956347771e-14,215.35389680230526,1.9000063293909422e-16
1954,9.01522066435496,1.3262130023249658e-08,188.7843904029777,1.2187291260984683e-10,17.180329987995744,4.9128061643154186e-18,220.01421244841845,3.6651364449098627e-13
1955,4.141508513042947,2.5784376367606964e-08,154.6460838504836,1.0176998188975653e-10,7.829208428664568,1.4182130186262505e-15,166.31989001019895,2.8704227852154986e-12
1956,4.7982613222882335,3.0254268806956235e-09,209.00287989077492,3.904145908954185e-12,7.6168121598374015,1.1044595075908878e-14,187.540018558606,1.5807278804897657e-11
1957,4.706369845794523,6.230260099730529e-09,259.89011618859297,2.316251511168843e-13,8.461553018668127,1.0710158855439914e-13,232.5009904018557,6.853807178722326e-12
1958,5.5926397720954455,6.42079709858955e-10,277.4682870499388,4.516379085195937e-16,9.302211543649143,2.886065243992523e-14,238.8190781808238,1.1057336576180514e-12
1959,4.560378069406944,7.007452189913563e-11,351.47580666972044,2.0805031357437432e-15,6.817568558166585,1.135470347869802e-12,294.4366938845624,2.978135618461295e-11
1960,4.009737810188746,5.893665177370795e-14,375.473830690083,1.6983499209819035e-14,4.225850353494078,1.847779087772175e-11,309.1637525197266,1.0126766679336405e-10
1961,3.618933391476844,1.934640928172551e-12,347.91877580900245,3.9253080195016845e-14,4.257318779840208,6.751635691055604e-10,306.8659851588268,5.74536213092569e-10
1962,3.7830523463282617,9.390621965662157e-13,351.4051993929602,1.2823297406513753e-13,3.9148271324774413,3.5409241381620626e-09,320.95269868675155,1.8352580605287317e-09
1963,3.040101140364568,9.623700901810559e-13,332.5199467490563,8.810943212957668e-13,3.106557415901424,4.801465492737186e-09,304.82604485550223,6.359571242556777e-10
1964,2.559954415027315,1.971670703318859e-10,243.81780550124847,2.3061527729997274e-13,2.814259974730586,1.6191642761340143e-09,259.2524957783759,8.795855763105579e-11
1965,5.597313167896271,6.903721003481702e-10,256.80153642469986,1.4515387956666346e-12,6.601922127810759,9.501962440176729e-13,287.7771456904263,9.877267983459312e-13
